"PORT","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","OTOLITH_WEIGHT","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB"
"CCI",142,2018-05-30,1,1,"",34,NA,4,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,2,"F",53,NA,11,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,3,"F",48,NA,11,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,4,"F",56,NA,16,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,5,"F",55,NA,15,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,6,"F",46,NA,11,11,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,7,"F",54,NA,NA,NA,NA,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,8,"F",46,NA,9,9,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,9,"F",49,NA,10,10,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,10,"F",55,NA,14,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,11,"F",48,NA,11,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,12,"F",54,NA,11,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,13,"F",37,NA,5,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,14,"F",56,NA,17,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,15,"F",55,NA,16,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,16,"F",32,NA,4,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,17,"F",32,NA,4,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,18,"M",32,NA,4,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,19,"M",47,NA,10,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,20,"M",54,NA,35,NA,1,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,21,"M",49,NA,10,9,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,22,"M",56,NA,18,19,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,23,"M",56,NA,27,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,24,"M",35,NA,4,4,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,25,"M",34,NA,4,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,26,"M",30,NA,4,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,27,"M",57,NA,25,NA,1,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,28,"M",33,NA,4,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-05-30,1,29,"M",47,NA,10,NA,2,"","Charter","BANSHEE",515905,NA,2018,5,30,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,1,"",36,NA,4,NA,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,2,"",56,NA,26,NA,1,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,3,"",46,NA,11,NA,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,4,"",52,NA,10,NA,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,5,"",54,NA,16,16,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,6,"F",30,NA,NA,NA,NA,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,7,"F",36,NA,5,NA,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,8,"F",53,NA,10,NA,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,9,"F",54,NA,24,NA,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,10,"F",35,NA,4,NA,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,11,"F",36,NA,5,NA,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,12,"F",30,NA,4,NA,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,13,"M",59,NA,33,NA,1,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,14,"M",48,NA,9,10,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",142,2018-06-13,2,15,"M",51,NA,16,16,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
"CCI",154,2018-06-13,2,16,"M",45,NA,29,34,1,"","Charter","BANSHEE",515903,0.2801,2018,6,13,NA,"DuskyDrk","Pelagic"
"CCI",154,2018-06-13,2,17,"M",42,NA,24,NA,1,"","Charter","BANSHEE",515903,0.2605,2018,6,13,NA,"DuskyDrk","Pelagic"
"CCI",142,2018-06-13,2,18,"M",51,NA,10,NA,2,"","Charter","BANSHEE",515903,NA,2018,6,13,NA,"Black","Pelagic"
