"PORT","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","OTOLITH_WEIGHT","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB"
"CCI",142,2012-08-13,1,1,"F",52,2.5,10,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,2,"F",51,NA,12,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,3,"F",53,2.3,15,15,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,4,"F",53,2.7,10,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,5,"F",57,2.8,16,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,6,"F",57,2.9,15,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,7,"F",57,2.9,18,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,8,"F",50,2,12,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,9,"F",59,3.1,15,15,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,10,"F",58,3,18,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,11,"F",56,2.8,15,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,12,"M",57,3,32,32,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,13,"M",56,3,32,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,14,"M",56,2.7,33,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,15,"M",58,2.8,26,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,16,"M",48,1.9,10,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,17,"M",55,2.7,20,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,18,"M",53,2.4,32,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,19,"M",56,2.5,23,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,20,"M",57,2.9,32,33,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,21,"M",52,2.7,16,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,22,"M",55,2.5,20,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,23,"M",54,2.6,20,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,24,"M",50,2,17,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,25,"M",47,1.7,10,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,26,"M",53,2.5,14,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,27,"M",52,2.3,21,21,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,28,"M",55,2.5,16,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,29,"M",56,3.1,23,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,30,"M",51,2.4,16,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,31,"M",49,2,10,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,32,"M",57,2.7,34,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",142,2012-08-13,1,33,"M",59,3.4,19,19,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Black","Pelagic"
"CCI",145,2012-08-13,1,1,"F",67,5.6,28,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Yelleye","Demersal"
"CCI",145,2012-08-13,1,2,"F",73,7,28,NA,2,"","Charter","HIGHLINER",515905,NA,2012,8,13,NA,"Yelleye","Demersal"
"Homer",138,2012-06-05,1,1,"F",38,NA,15,NA,2,"","Charter","DIAMOND CAPE",515908,NA,2012,6,5,NA,"Copper","Demersal"
"Homer",138,2012-06-10,2,1,"F",46,NA,30,29,2,"","Charter","STORM PETREL",515907,NA,2012,6,10,NA,"Copper","Demersal"
"Homer",138,2012-06-29,3,1,"F",46,NA,33,33,2,"","Charter","STORM PETREL",525931,NA,2012,6,29,NA,"Copper","Demersal"
"Homer",138,2012-06-29,3,2,"",37,NA,9,NA,2,"","Charter","STORM PETREL",525931,NA,2012,6,29,NA,"Copper","Demersal"
"Homer",138,2012-07-29,4,1,"M",40,1.3,13,NA,2,"","Charter","FRINGE BENEFIT",525902,NA,2012,7,29,NA,"Copper","Demersal"
"Homer",138,2012-07-29,4,2,"M",52,2.3,34,NA,2,"","Charter","FRINGE BENEFIT",525902,NA,2012,7,29,NA,"Copper","Demersal"
"Homer",138,2012-07-29,4,3,"F",56,3.1,42,NA,2,"","Charter","FRINGE BENEFIT",525902,NA,2012,7,29,NA,"Copper","Demersal"
"Homer",138,2012-08-13,5,1,"F",55,NA,39,NA,2,"","Charter","DIAMOND CAPE",515907,NA,2012,8,13,NA,"Copper","Demersal"
"Homer",138,2012-08-14,6,1,"M",46,NA,19,NA,2,"","Charter","GRANDE ALEUTIAN",525901,NA,2012,8,14,NA,"Copper","Demersal"
"Homer",142,2012-05-19,1,1,"M",52,2.3,22,22,2,"","Private","P2",515939,NA,2012,5,19,NA,"Black","Pelagic"
"Homer",142,2012-05-30,2,1,"F",52,NA,15,15,2,"","Charter","BEAU SOLEIL",515907,NA,2012,5,30,NA,"Black","Pelagic"
"Homer",142,2012-06-09,3,1,"F",51,2.5,33,NA,2,"","Private","P6",515907,NA,2012,6,9,NA,"Black","Pelagic"
"Homer",142,2012-06-10,4,1,"F",54,NA,19,19,2,"","Charter","STORM PETREL",515907,NA,2012,6,10,NA,"Black","Pelagic"
