"PORT","YEAR","Species","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"Kodiak",1992,"Black",0,0,0.28,0.00411428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1992,"DuskyDark",0.954545454545455,0.00206611570247934,0.7,0.00428571428571429,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1992,"Yelloweye",0.0454545454545455,0.00206611570247934,0.02,4e-04,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1993,"Black",0.808,0.000623036144578313,0.857843137254902,0.000600730488273741,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1993,"DuskyDark",0.192,0.000623036144578313,0.137254901960784,0.000583330018958226,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1993,"Yelloweye",0,0,0.00490196078431373,2.40292195309496e-05,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1993,"Yellowtail",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1994,"Black",0.789473684210526,0.0011006952725138,0.783783783783784,0.00232146252138847,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1994,"DuskyDark",0.203947368421053,0.00107518436645815,0.202702702702703,0.00221389475369483,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1994,"Yelloweye",0.00657894736842105,4.32825484764543e-05,0.0135135135135135,0.000182615047479912,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1995,"Black",0.76875,0.00111807193396226,0.584905660377358,0.00231229551272271,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1995,"DuskyDark",0.2125,0.00105247641509434,0.330188679245283,0.0021063249080337,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1995,"Tiger",0.00625,3.90625e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1995,"Yelloweye",0.0125,7.76336477987421e-05,0.0849056603773585,0.000739968468697554,NA,NA,NA,NA,NA,NA,NA,NA
"Kodiak",1996,"Black",0.924731182795699,0.000756558938706159,0.864583333333333,0.00123241045321637,1149.44086021505,412.741781030149,4589.20833333333,1156.28634498749,5738.64919354839,1227.74341350808,0.875995908036695,0.0291991940685297
"Kodiak",1996,"DuskyDark",0.043010752688172,0.000447400302623576,0.125,0.00115131578947368,53.4623655913979,31.128609236993,663.5,240.198539041966,716.962365591398,242.207201525727,0.109443194259105,0.0283226370292667
"Kodiak",1996,"Northern",0.010752688172043,0.000115620302925194,0.0104166666666667,0.000108506944444444,13.3655913978495,13.3655913978495,55.2916666666667,55.2916666666667,68.6572580645161,56.8841580423939,0.0104804240672441,0.00868330780339418
"Kodiak",1996,"Yelloweye",0.021505376344086,0.000228727121004187,0,0,26.7311827956989,19.9920925215594,0,0,26.7311827956989,19.9920925215594,0.00408047363695603,0.00321133953659848
"Kodiak",1997,"Black",0.760869565217391,0.00404326822096198,0.906976744186046,0.00200880784980298,848.369565217391,327.724708260663,4579.32558139535,806.899617701257,5427.69514661274,870.913587820842,0.880547557854111,0.0395052564031128
"Kodiak",1997,"DuskyDark",0.130434782608696,0.00252047889098929,0.0465116279069767,0.00105591181848618,145.434782608696,75.5939806167266,234.837209302326,166.515101394755,380.271991911021,182.870798374119,0.0616924062152857,0.0285921548195907
"Kodiak",1997,"Yelloweye",0.108695652173913,0.00215290905272002,0.0465116279069767,0.00105591181848618,121.195652173913,66.3111507557799,234.837209302326,166.515101394755,356.032861476239,179.23294258328,0.0577600359306033,0.0281690618577522
"Kodiak",1998,"Black",0.656488549618321,0.00173470256798734,0.835051546391753,0.00143479647146349,759.557251908397,261.306868275863,2830.82474226804,325.843607407708,3590.38199417644,417.678507822234,0.789615569425212,0.0324718718727327
"Kodiak",1998,"DuskyDark",0.175572519083969,0.00111343699712676,0.134020618556701,0.00120894887873313,203.137404580153,77.8216419649195,454.329896907216,126.698264892676,657.467301487369,148.689805585087,0.144593644488095,0.0274208395265537
