"","PORT","PAGE","LINE","SEX","LENGTH","NETWT","RNDWT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","CAS","GAF","YEAR","MONTH","DAY","SUB"
"1","CCI",1,1,"F",58,3.57829011234887,4.75916204077032,NA,NA,NA,"","Private","P1",515939,0,0,2017,5,15,2
"2","CCI",1,2,"F",95,17.7008177429845,23.542266626813,NA,NA,NA,"","Private","P1",515939,0,0,2017,5,15,2
"3","CCI",1,3,"M",61,4.21344679894347,5.60392685800819,NA,NA,NA,"","Private","P1",515939,0,0,2017,5,15,2
"4","CCI",1,4,"M",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"5","CCI",1,5,"M",75,8.22938427965115,10.9451643251248,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"6","CCI",1,6,"M",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"7","CCI",1,7,"M",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"8","CCI",1,8,"M",67,5.71019855759206,7.59462183537565,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"9","CCI",1,9,"F",79,9.7382433958611,12.9519622105045,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"10","CCI",1,10,"F",76,8.5902319024382,11.4250953130969,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"11","CCI",1,11,"F",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"12","CCI",1,12,"F",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"13","CCI",1,13,"F",62,4.44137990441386,5.90708019363236,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"14","CCI",1,14,"F",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"15","CCI",1,15,"F",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"16","CCI",1,16,"F",78,9.34448480063655,12.4282592963242,NA,NA,NA,"","Private","P2",525931,0,0,2017,5,15,2
"17","CCI",2,1,"F",91,15.3979519606891,20.4794318448409,NA,NA,NA,"","Private","P1",515938,0,0,2017,5,17,1
"18","CCI",2,2,"F",85,12.344859985371,16.4187886382518,NA,NA,NA,"","Private","P1",515938,0,0,2017,5,17,1
