"","AREA","SITE","SUB","YEAR","MONTH","DAY","PAGE","LINE","SEX","LENGTH","port","User","NETWT","RNDWT"
"1",161,920,1,1987,8,1,NA,NA,"",160,"CCI","Unknown",95.8,127.5
"2",161,920,1,1987,8,1,NA,NA,"",73,"CCI","Unknown",7.5,10
"3",161,920,1,1987,8,1,NA,NA,"",80,"CCI","Unknown",10.1,13.5
"4",161,920,1,1987,8,1,NA,NA,"",170,"CCI","Unknown",116.6,155.1
"5",161,920,1,1987,8,1,NA,NA,"",104,"CCI","Unknown",23.7,31.6
"6",161,920,1,1987,8,1,NA,NA,"",74,"CCI","Unknown",7.9,10.5
"7",161,920,1,1987,8,1,NA,NA,"",69,"CCI","Unknown",6.3,8.4
"8",161,920,1,1987,8,1,NA,NA,"",65,"CCI","Unknown",5.2,6.9
"9",161,920,1,1987,8,1,NA,NA,"",90,"CCI","Unknown",14.9,19.8
"10",161,920,1,1987,8,1,NA,NA,"",68,"CCI","Unknown",6,8
"11",161,920,1,1987,8,1,NA,NA,"",64,"CCI","Unknown",4.9,6.5
"12",161,920,1,1987,8,1,NA,NA,"",73,"CCI","Unknown",7.5,10
"13",161,920,1,1987,8,1,NA,NA,"",89,"CCI","Unknown",14.3,19.1
"14",161,920,1,1987,8,1,NA,NA,"",71,"CCI","Unknown",6.9,9.2
"15",161,920,1,1987,8,1,NA,NA,"",86,"CCI","Unknown",12.8,17.1
"16",161,920,1,1987,8,1,NA,NA,"",56,"CCI","Unknown",3.2,4.2
"17",161,920,1,1987,8,1,NA,NA,"",102,"CCI","Unknown",22.3,29.6
"18",161,920,1,1987,8,1,NA,NA,"",94,"CCI","Unknown",17.1,22.7
"19",161,920,1,1987,8,1,NA,NA,"",72,"CCI","Unknown",7.2,9.6
"20",161,920,1,1987,8,1,NA,NA,"",88,"CCI","Unknown",13.8,18.4
"21",161,920,1,1987,8,1,NA,NA,"",72,"CCI","Unknown",7.2,9.6
"22",161,920,1,1987,8,1,NA,NA,"",83,"CCI","Unknown",11.4,15.2
"23",161,920,1,1987,8,1,NA,NA,"",94,"CCI","Unknown",17.1,22.7
"24",161,920,1,1987,8,1,NA,NA,"",89,"CCI","Unknown",14.3,19.1
"25",161,920,1,1987,8,1,NA,NA,"",87,"CCI","Unknown",13.3,17.7
"26",161,920,1,1987,8,1,NA,NA,"",80,"CCI","Unknown",10.1,13.5
"27",161,920,1,1987,8,1,NA,NA,"",72,"CCI","Unknown",7.2,9.6
"28",161,920,1,1987,8,1,NA,NA,"",87,"CCI","Unknown",13.3,17.7
"29",161,920,1,1987,8,4,NA,NA,"",90,"CCI","Unknown",14.9,19.8
"30",161,920,1,1987,8,4,NA,NA,"",86,"CCI","Unknown",12.8,17.1
"31",161,920,1,1987,8,4,NA,NA,"",75,"CCI","Unknown",8.2,10.9
"32",161,920,1,1987,8,4,NA,NA,"",74,"CCI","Unknown",7.9,10.5
"33",161,920,1,1987,8,4,NA,NA,"",91,"CCI","Unknown",15.4,20.5
"34",161,920,1,1987,8,4,NA,NA,"",114,"CCI","Unknown",32,42.5
"35",161,920,1,1987,8,4,NA,NA,"",66,"CCI","Unknown",5.4,7.2
"36",161,920,1,1987,8,4,NA,NA,"",102,"CCI","Unknown",22.3,29.6
"37",161,920,1,1987,8,4,NA,NA,"",80,"CCI","Unknown",10.1,13.5
"38",161,920,1,1987,8,4,NA,NA,"",70,"CCI","Unknown",6.6,8.8
"39",161,920,1,1987,8,4,NA,NA,"",75,"CCI","Unknown",8.2,10.9
"40",161,920,1,1987,8,4,NA,NA,"",86,"CCI","Unknown",12.8,17.1
"41",161,920,1,1987,8,4,NA,NA,"",71,"CCI","Unknown",6.9,9.2
"42",161,920,1,1987,8,4,NA,NA,"",72,"CCI","Unknown",7.2,9.6
"43",161,920,1,1987,8,4,NA,NA,"",80,"CCI","Unknown",10.1,13.5
"44",161,920,1,1987,8,4,NA,NA,"",104,"CCI","Unknown",23.7,31.6
"45",161,920,1,1987,8,4,NA,NA,"",93,"CCI","Unknown",16.5,22
"46",161,920,1,1987,8,4,NA,NA,"",103,"CCI","Unknown",23,30.6
"47",161,920,1,1987,8,4,NA,NA,"",81,"CCI","Unknown",10.6,14
"48",161,920,1,1987,8,4,NA,NA,"",69,"CCI","Unknown",6.3,8.4
"49",161,920,1,1987,8,4,NA,NA,"",119,"CCI","Unknown",36.7,48.8
"50",161,920,1,1987,8,4,NA,NA,"",122,"CCI","Unknown",39.8,52.9
"51",161,920,1,1987,8,4,NA,NA,"",104,"CCI","Unknown",23.7,31.6
