"","port","page","line","year","age","AgeErr","SEX","LENGTH","NETWT","RNDWT","AGE2","AGECONF","USER","BOATNAME","STATAREA","CAS","GAF","MONTH","DAY","SUB"
"1","CCI",1,1,2014,NA,"","M",80,10.1433265474259,13.4907268991556,NA,NA,"Charter","TRUE GRIT",525931,NA,0,5,17,1
"2","CCI",1,2,2014,NA,"","M",69,6.2811606783156,8.35400723073185,NA,NA,"Charter","TRUE GRIT",525931,NA,0,5,17,1
"3","CCI",1,3,2014,NA,"","F",74,7.87915458445051,10.4793552882339,NA,NA,"Charter","TRUE GRIT",525931,NA,0,5,17,1
"4","CCI",1,4,2014,8,"","F",76,8.5902319024382,11.4250953130969,NA,NA,"Charter","TRUE GRIT",525931,NA,0,5,17,1
"5","CCI",1,5,2014,10,"","F",76,8.5902319024382,11.4250953130969,NA,NA,"Charter","TRUE GRIT",525931,NA,0,5,17,1
"6","CCI",1,6,2014,8,"","F",80,10.1433265474259,13.4907268991556,NA,NA,"Charter","TRUE GRIT",525931,NA,0,5,17,1
"7","CCI",1,7,2014,9,"","F",90,14.8564340647168,19.7592075662069,NA,NA,"Charter","TRUE GRIT",525931,NA,0,5,17,1
"8","CCI",1,8,2014,NA,"","F",90,14.8564340647168,19.7592075662069,NA,NA,"Charter","TRUE GRIT",525931,NA,0,5,17,1
"9","CCI",2,1,2014,NA,"","F",95,17.7008177429845,23.542266626813,NA,NA,"Charter","SHAY LYNN",525931,NA,0,5,19,1
"10","CCI",2,2,2014,NA,"","F",70,6.58091829516383,8.7526878929321,NA,NA,"Charter","SHAY LYNN",525931,NA,0,5,19,1
"11","CCI",2,3,2014,7,"","F",73,7.53936755018688,10.0274350960078,NA,NA,"Charter","SHAY LYNN",525931,NA,0,5,19,1
"12","CCI",2,4,2014,NA,"","F",90,14.8564340647168,19.7592075662069,NA,NA,"Charter","SHAY LYNN",525931,NA,0,5,19,1
"13","CCI",2,5,2014,9,"","F",93,16.5216570328072,21.9739709560743,NA,NA,"Charter","SHAY LYNN",525931,NA,0,5,19,1
"14","CCI",2,6,2014,NA,"","F",84,11.8804731210747,15.8011494118613,NA,NA,"Charter","SHAY LYNN",525931,NA,0,5,19,1
"15","CCI",2,7,2014,8,"","F",75,8.22938427965115,10.9451643251248,NA,NA,"Charter","SHAY LYNN",525931,NA,0,5,19,1
"16","CCI",2,8,2014,NA,"","F",71,6.89042324147201,9.16433260189999,NA,NA,"Charter","SHAY LYNN",525931,NA,0,5,19,1
"17","CCI",2,9,2014,NA,"","F",92,15.9529649068762,21.2176046767513,NA,NA,"Charter","SHAY LYNN",525931,NA,0,5,19,1
"18","CCI",3,1,2014,NA,"","F",75,8.22938427965115,10.9451643251248,NA,NA,"Charter","ALL ABOUT",525931,NA,0,5,24,2
"19","CCI",3,2,2014,NA,"","F",81,10.5599122758681,14.0447901313923,NA,NA,"Charter","ALL ABOUT",525931,NA,0,5,24,2
"20","CCI",3,3,2014,NA,"","F",72,7.20984847775072,9.58917139686394,NA,NA,"Charter","ALL ABOUT",525931,NA,0,5,24,2
"21","CCI",3,4,2014,NA,"","F",118,35.7327592174688,47.5249311655541,NA,NA,"Charter","ALL ABOUT",525931,NA,0,5,24,2
"22","CCI",3,5,2014,11,"","M",75,8.22938427965115,10.9451643251248,NA,NA,"Charter","ALL ABOUT",525931,NA,0,5,24,2
"23","CCI",3,6,2014,NA,"","M",72,7.20984847775072,9.58917139686394,NA,NA,"Charter","ALL ABOUT",525931,NA,0,5,24,2
"24","CCI",3,7,2014,NA,"","M",74,7.87915458445051,10.4793552882339,NA,NA,"Charter","ALL ABOUT",525931,NA,0,5,24,2
"25","CCI",3,8,2014,NA,"","M",79,9.7382433958611,12.9519622105045,NA,NA,"Charter","ALL ABOUT",525931,NA,0,5,24,2
"26","CCI",3,9,2014,NA,"","M",69,6.2811606783156,8.35400723073185,NA,NA,"Charter","ALL ABOUT",525931,NA,0,5,24,2
"27","CCI",3,10,2014,NA,"","M",83,11.4283062149386,15.1997628534186,NA,NA,"Charter","ALL ABOUT",525931,NA,0,5,24,2
"28","CCI",3,11,2014,NA,"","M",70,6.58091829516383,8.7526878929321,NA,NA,"Charter","INDEPENDENCE",525931,NA,0,5,24,2
"29","CCI",3,12,2014,10,"","M",66,5.43865111903038,7.23346099561835,NA,NA,"Charter","INDEPENDENCE",525931,NA,0,5,24,2
"30","CCI",3,13,2014,NA,"","M",71,6.89042324147201,9.16433260189999,NA,NA,"Charter","INDEPENDENCE",525931,NA,0,5,24,2
"31","CCI",3,14,2014,NA,"","M",72,7.20984847775072,9.58917139686394,NA,NA,"Charter","INDEPENDENCE",525931,NA,0,5,24,2
"32","CCI",3,15,2014,NA,"","M",67,5.71019855759206,7.59462183537565,NA,NA,"Charter","INDEPENDENCE",525931,NA,0,5,24,2
"33","CCI",3,16,2014,NA,"","M",80,10.1433265474259,13.4907268991556,NA,NA,"Charter","INDEPENDENCE",525931,NA,0,5,24,2
"34","CCI",3,17,2014,NA,"","M",65,5.17616515408831,6.8843520074242,NA,NA,"Charter","INDEPENDENCE",525931,NA,0,5,24,2
"35","CCI",3,18,2014,NA,"","F",76,8.5902319024382,11.4250953130969,NA,NA,"Charter","INDEPENDENCE",525931,NA,0,5,24,2
