"","port","page","line","year","age","AgeErr","SEX","LENGTH","NETWT","RNDWT","AGE2","AGECONF","USER","BOATNAME","STATAREA","CAS","TOSSED","MONTH","DAY","SUB"
"1","CCI",1,1,2011,NA,"","F",92,15.9529649068762,21.2176046767513,NA,NA,"Private","P1",NA,NA,"",5,25,1
"2","CCI",1,2,2011,NA,"","F",108,26.8201879531908,35.6711212410232,NA,NA,"Private","P1",NA,NA,"",5,25,1
"3","CCI",1,3,2011,NA,"","F",96,18.3116569755219,24.3546889842045,NA,NA,"Private","P1",NA,NA,"",5,25,1
"4","CCI",1,4,2011,NA,"I","F",78,9.34448480063655,12.4282592963242,NA,NA,"Private","P1",NA,NA,"",5,25,1
"5","CCI",1,5,2011,NA,"","F",80,10.1433265474259,13.4907268991556,NA,NA,"Private","P1",NA,NA,"",5,25,1
"6","CCI",1,6,2011,NA,"","F",104,23.7332311227181,31.5654374345644,NA,NA,"Private","P1",NA,NA,"",5,25,1
"7","CCI",1,7,2011,9,"","F",88,13.8131493343522,18.3716283228886,NA,NA,"Private","P1",NA,NA,"",5,25,1
"8","CCI",1,8,2011,NA,"","M",77,8.96187328124,11.9193821057382,NA,NA,"Private","P1",NA,NA,"",5,25,1
"9","CCI",1,9,2011,NA,"","M",75,8.22938427965115,10.9451643251248,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,"",5,25,1
"10","CCI",1,10,2011,NA,"","M",79,9.7382433958611,12.9519622105045,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,"",5,25,1
"11","CCI",1,11,2011,10,"","M",78,9.34448480063655,12.4282592963242,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,"",5,25,1
"12","CCI",1,12,2011,NA,"","M",74,7.87915458445051,10.4793552882339,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,"",5,25,1
"13","CCI",1,13,2011,NA,"","M",81,10.5599122758681,14.0447901313923,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,"",5,25,1
"14","CCI",1,14,2011,NA,"","M",75,8.22938427965115,10.9451643251248,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,"",5,25,1
"15","CCI",1,15,2011,NA,"","F",82,10.9881791366113,14.614389387734,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,"",5,25,1
"16","CCI",1,16,2011,NA,"","F",74,7.87915458445051,10.4793552882339,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,"",5,25,1
"17","CCI",1,17,2011,NA,"","F",82,10.9881791366113,14.614389387734,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,"",5,25,1
"18","CCI",1,18,2011,NA,"","F",74,7.87915458445051,10.4793552882339,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,"",5,25,1
"19","CCI",1,19,2011,NA,"","F",75,8.22938427965115,10.9451643251248,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,"",5,25,1
"20","CCI",1,20,2011,NA,"","F",73,7.53936755018688,10.0274350960078,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,"",5,25,1
"21","CCI",1,21,2011,NA,"","F",116,33.8074749051989,44.9642835576298,NA,NA,"Charter","UNFORGIVEN",525931,NA,"",5,25,1
"22","CCI",1,22,2011,NA,"","F",129,47.6957311427726,63.4358048214451,NA,NA,"Charter","UNFORGIVEN",525931,NA,"",5,25,1
"23","CCI",1,23,2011,NA,"","F",119,36.7232411172277,48.8422821101114,NA,NA,"Charter","UNFORGIVEN",525931,NA,"",5,25,1
"24","CCI",1,24,2011,NA,"","F",85,12.344859985371,16.4187886382518,NA,NA,"Charter","UNFORGIVEN",525931,NA,"",5,25,1
"25","CCI",1,25,2011,NA,"","F",100,20.9010858569024,27.7986555863006,NA,NA,"Charter","UNFORGIVEN",525931,NA,"",5,25,1
"26","CCI",1,26,2011,NA,"","F",97,18.9369166767327,25.1862907107824,NA,NA,"Charter","UNFORGIVEN",525931,NA,"",5,25,1
"27","CCI",1,27,2011,NA,"","F",87,13.3110166823064,17.703786817025,NA,NA,"Charter","UNFORGIVEN",525931,NA,"",5,25,1
"28","CCI",1,28,2011,NA,"","F",93,16.5216570328072,21.9739709560743,NA,NA,"Charter","UNFORGIVEN",525931,NA,"",5,25,1
"29","CCI",1,29,2011,8,"","F",93,16.5216570328072,21.9739709560743,NA,NA,"Charter","UNFORGIVEN",525931,NA,"",5,25,1
"30","CCI",1,30,2011,NA,"","M",85,12.344859985371,16.4187886382518,NA,NA,"Charter","UNFORGIVEN",525931,NA,"",5,25,1
"31","CCI",2,1,2011,NA,"","F",83,11.4283062149386,15.1997628534186,NA,NA,"Private","P1",525931,NA,"",5,29,2
"32","CCI",2,2,2011,NA,"","F",79,9.7382433958611,12.9519622105045,NA,NA,"Private","P1",525931,NA,"",5,29,2
"33","CCI",2,3,2011,NA,"","F",113,31.0558203756211,41.3045552026575,NA,NA,"Private","P1",525931,NA,"",5,29,2
"34","CCI",2,4,2011,NA,"","F",92,15.9529649068762,21.2176046767513,NA,NA,"Charter","SUNSHINE",525931,NA,"",5,29,2
"35","CCI",2,5,2011,NA,"","F",78,9.34448480063655,12.4282592963242,NA,NA,"Charter","SUNSHINE",525931,NA,"",5,29,2
"36","CCI",2,6,2011,10,"","F",98,19.5767833424166,26.0373198478463,NA,NA,"Charter","SUNSHINE",525931,NA,"",5,29,2
"37","CCI",2,7,2011,10,"","F",92,15.9529649068762,21.2176046767513,NA,NA,"Charter","SUNSHINE",525931,NA,"",5,29,2
"38","CCI",2,8,2011,NA,"","F",80,10.1433265474259,13.4907268991556,NA,NA,"Charter","SUNSHINE",525931,NA,"",5,29,2
"39","CCI",2,9,2011,NA,"","F",81,10.5599122758681,14.0447901313923,NA,NA,"Charter","SUNSHINE",525931,NA,"",5,29,2
"40","CCI",2,10,2011,16,"","M",82,10.9881791366113,14.614389387734,NA,NA,"Charter","SUNSHINE",525931,NA,"",5,29,2
"41","CCI",2,11,2011,18,"","M",87,13.3110166823064,17.703786817025,NA,NA,"Charter","SUNSHINE",525931,NA,"",5,29,2
"42","CCI",2,12,2011,NA,"","M",86,12.8216474535934,17.0529207932853,NA,NA,"Charter","SUNSHINE",525931,NA,"",5,29,2
"43","CCI",2,13,2011,NA,"","M",83,11.4283062149386,15.1997628534186,NA,NA,"Charter","SUNSHINE",525931,NA,"",5,29,2
"44","CCI",3,1,2011,NA,"","M",79,9.7382433958611,12.9519622105045,NA,NA,"Charter","MARLY RAE",525931,NA,"",5,30,1
"45","CCI",3,2,2011,NA,"","F",69,6.2811606783156,8.35400723073185,NA,NA,"Charter","MARLY RAE",525931,NA,"",5,30,1
"46","CCI",3,3,2011,NA,"","F",85,12.344859985371,16.4187886382518,NA,NA,"Charter","MARLY RAE",525931,NA,"",5,30,1
"47","CCI",3,4,2011,6,"","F",80,10.1433265474259,13.4907268991556,NA,NA,"Charter","MARLY RAE",525931,NA,"",5,30,1
"48","CCI",3,5,2011,NA,"","F",102,22.2860656615977,29.6406927344324,NA,NA,"Charter","MARLY RAE",525931,NA,"",5,30,1
"49","CCI",3,6,2011,NA,"","F",90,14.8564340647168,19.7592075662069,NA,NA,"Charter","MARLY RAE",525931,NA,"",5,30,1
"50","CCI",3,7,2011,NA,"","F",87,13.3110166823064,17.703786817025,NA,NA,"Charter","MARLY RAE",525931,NA,"",5,30,1
"51","CCI",3,8,2011,NA,"","F",79,9.7382433958611,12.9519622105045,NA,NA,"Charter","MARLY RAE",525931,NA,"",5,30,1
"52","CCI",3,9,2011,NA,"","F",83,11.4283062149386,15.1997628534186,NA,NA,"Charter","MARLY RAE",525931,NA,"",5,30,1
"53","CCI",3,10,2011,NA,"","F",81,10.5599122758681,14.0447901313923,NA,NA,"Charter","MARLY RAE",525931,NA,"",5,30,1
"54","CCI",3,11,2011,NA,"","F",108,26.8201879531908,35.6711212410232,NA,NA,"Charter","MARLY RAE",525931,NA,"",5,30,1
"55","CCI",3,12,2011,NA,"","F",81,10.5599122758681,14.0447901313923,NA,NA,"Charter","MARLY RAE",525931,NA,"",5,30,1
"56","CCI",4,1,2011,11,"","F",74,7.87915458445051,10.4793552882339,NA,NA,"Charter","MISS RENE",525931,NA,"",5,31,2
"57","CCI",4,2,2011,NA,"","F",73,7.53936755018688,10.0274350960078,NA,NA,"Charter","MISS RENE",525931,NA,"",5,31,2
"58","CCI",4,3,2011,NA,"","F",76,8.5902319024382,11.4250953130969,NA,NA,"Charter","MISS RENE",525931,NA,"",5,31,2
"59","CCI",4,4,2011,NA,"","F",81,10.5599122758681,14.0447901313923,NA,NA,"Charter","MISS RENE",525931,NA,"",5,31,2
"60","CCI",4,5,2011,NA,"","F",85,12.344859985371,16.4187886382518,NA,NA,"Charter","MISS RENE",525931,NA,"",5,31,2
"61","CCI",4,6,2011,NA,"","F",85,12.344859985371,16.4187886382518,NA,NA,"Charter","MISS RENE",525931,NA,"",5,31,2
"62","CCI",4,7,2011,NA,"","F",96,18.3116569755219,24.3546889842045,NA,NA,"Charter","MISS RENE",525931,NA,"",5,31,2
"63","CCI",4,8,2011,10,"","F",82,10.9881791366113,14.614389387734,NA,NA,"Charter","MISS RENE",525931,NA,"",5,31,2
"64","CCI",4,9,2011,9,"","F",81,10.5599122758681,14.0447901313923,NA,NA,"Charter","MISS RENE",525931,NA,"",5,31,2
"65","CCI",4,10,2011,NA,"","F",91,15.3979519606891,20.4794318448409,NA,NA,"Charter","MISS RENE",525931,NA,"",5,31,2
"66","CCI",4,11,2011,NA,"","M",78,9.34448480063655,12.4282592963242,NA,NA,"Charter","MISS RENE",525931,NA,"",5,31,2
"67","CCI",4,12,2011,NA,"","M",67,5.71019855759206,7.59462183537565,NA,NA,"Charter","MISS RENE",525931,NA,"",5,31,2
"68","CCI",5,1,2011,NA,"","F",76,8.5902319024382,11.4250953130969,NA,NA,"Private","P1",515938,NA,"",6,4,2
"69","CCI",5,2,2011,8,"","F",78,9.34448480063655,12.4282592963242,NA,NA,"Private","P1",515938,NA,"",6,4,2
"70","CCI",5,3,2011,13,"","F",86,12.8216474535934,17.0529207932853,NA,NA,"Private","P1",515938,NA,"",6,4,2
"71","CCI",5,4,2011,NA,"","F",82,10.9881791366113,14.614389387734,NA,NA,"Private","P1",515938,NA,"",6,4,2
"72","CCI",5,5,2011,NA,"","F",96,18.3116569755219,24.3546889842045,NA,NA,"Private","P1",515938,NA,"",6,4,2
"73","CCI",5,6,2011,NA,"","F",117,34.7609023202377,46.2323516627348,NA,NA,"Private","P1",515938,NA,"",6,4,2
"74","CCI",5,7,2011,NA,"","M",73,7.53936755018688,10.0274350960078,NA,NA,"Private","P1",515938,NA,"",6,4,2
"75","CCI",5,8,2011,NA,"","M",67,5.71019855759206,7.59462183537565,NA,NA,"Private","P1",515938,NA,"",6,4,2
"76","CCI",5,9,2011,NA,"","M",74,7.87915458445051,10.4793552882339,NA,NA,"Private","P2",525931,NA,"",6,4,2
"77","CCI",5,10,2011,NA,"","M",79,9.7382433958611,12.9519622105045,NA,NA,"Private","P2",525931,NA,"",6,4,2
"78","CCI",5,11,2011,NA,"","M",82,10.9881791366113,14.614389387734,NA,NA,"Private","P2",525931,NA,"",6,4,2
"79","CCI",5,12,2011,NA,"","M",79,9.7382433958611,12.9519622105045,NA,NA,"Private","P2",525931,NA,"",6,4,2
"80","CCI",5,13,2011,NA,"","M",87,13.3110166823064,17.703786817025,NA,NA,"Private","P2",525931,NA,"",6,4,2
"81","CCI",5,14,2011,NA,"","M",80,10.1433265474259,13.4907268991556,NA,NA,"Private","P2",525931,NA,"",6,4,2
"82","CCI",5,15,2011,NA,"","M",75,8.22938427965115,10.9451643251248,NA,NA,"Private","P2",525931,NA,"",6,4,2
"83","CCI",5,16,2011,NA,"","F",86,12.8216474535934,17.0529207932853,NA,NA,"Private","P2",525931,NA,"",6,4,2
"84","CCI",6,1,2011,NA,"","F",113,31.0558203756211,41.3045552026575,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"85","CCI",6,2,2011,NA,"","F",85,12.344859985371,16.4187886382518,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"86","CCI",6,3,2011,NA,"","F",95,17.7008177429845,23.542266626813,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"87","CCI",6,4,2011,12,"","F",91,15.3979519606891,20.4794318448409,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"88","CCI",6,5,2011,NA,"","F",91,15.3979519606891,20.4794318448409,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"89","CCI",6,6,2011,NA,"","F",95,17.7008177429845,23.542266626813,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"90","CCI",6,7,2011,NA,"","F",83,11.4283062149386,15.1997628534186,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"91","CCI",6,8,2011,NA,"","F",92,15.9529649068762,21.2176046767513,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"92","CCI",6,9,2011,NA,"","F",99,20.2314439303907,26.9080250511842,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"93","CCI",6,10,2011,NA,"","F",96,18.3116569755219,24.3546889842045,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"94","CCI",6,11,2011,13,"","F",101,21.5858969931053,28.7094613237299,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"95","CCI",6,12,2011,NA,"","F",116,33.8074749051989,44.9642835576298,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"96","CCI",6,13,2011,NA,"","M",83,11.4283062149386,15.1997628534186,NA,NA,"Charter","THE RIGHT ONE",525931,NA,"",6,6,1
"97","CCI",6,14,2011,NA,"","M",85,12.344859985371,16.4187886382518,NA,NA,"Charter","THE CHOSEN ONE",525931,NA,"",6,6,1
"98","CCI",6,15,2011,NA,"","F",97,18.9369166767327,25.1862907107824,NA,NA,"Charter","THE CHOSEN ONE",525931,NA,"",6,6,1
"99","CCI",6,16,2011,NA,"","F",106,25.2440977221506,33.5749052929341,NA,NA,"Charter","THE CHOSEN ONE",525931,NA,"",6,6,1
"100","CCI",6,17,2011,NA,"","F",98,19.5767833424166,26.0373198478463,NA,NA,"Charter","THE CHOSEN ONE",525931,NA,"",6,6,1
"101","CCI",6,18,2011,NA,"","F",95,17.7008177429845,23.542266626813,NA,NA,"Charter","THE CHOSEN ONE",525931,NA,"",6,6,1
"102","CCI",6,19,2011,NA,"","F",95,17.7008177429845,23.542266626813,NA,NA,"Charter","THE CHOSEN ONE",525931,NA,"",6,6,1
"103","CCI",6,20,2011,9,"","F",98,19.5767833424166,26.0373198478463,NA,NA,"Charter","THE CHOSEN ONE",525931,NA,"",6,6,1
"104","CCI",6,21,2011,NA,"","F",94,17.1042129489918,22.7487762166551,NA,NA,"Charter","THE CHOSEN ONE",525931,NA,"",6,6,1
"105","CCI",6,22,2011,NA,"","F",102,22.2860656615977,29.6406927344324,NA,NA,"Charter","THE CHOSEN ONE",525931,NA,"",6,6,1
"106","CCI",6,23,2011,NA,"","F",98,19.5767833424166,26.0373198478463,NA,NA,"Charter","THE CHOSEN ONE",525931,NA,"",6,6,1
"107","CCI",6,24,2011,NA,"","F",126,44.1946211578998,58.7792931308291,NA,NA,"Charter","THE CHOSEN ONE",525931,NA,"",6,6,1
"108","CCI",6,25,2011,NA,"","F",117,34.7609023202377,46.2323516627348,NA,NA,"Charter","THE CHOSEN ONE",525931,NA,"",6,6,1
"109","CCI",6,26,2011,NA,"","F",110,28.4630312197507,37.8561194015034,NA,NA,"Charter","ALL IN",525931,NA,"",6,6,1
"110","CCI",6,27,2011,NA,"","F",106,25.2440977221506,33.5749052929341,NA,NA,"Charter","ALL IN",525931,NA,"",6,6,1
"111","CCI",6,28,2011,10,"","F",100,20.9010858569024,27.7986555863006,NA,NA,"Charter","ALL IN",525931,NA,"",6,6,1
"112","CCI",6,29,2011,NA,"","F",106,25.2440977221506,33.5749052929341,NA,NA,"Charter","ALL IN",525931,NA,"",6,6,1
"113","CCI",6,30,2011,NA,"","F",88,13.8131493343522,18.3716283228886,NA,NA,"Charter","ALL IN",525931,NA,"",6,6,1
"114","CCI",6,31,2011,NA,"","F",95,17.7008177429845,23.542266626813,NA,NA,"Charter","ALL IN",525931,NA,"",6,6,1
