"","SUB","YEAR","MONTH","DAY","PAGE","LINE","AGECONF","AGE","AGEERR","SEX","LENGTH","OBSWT","STATAREA","USER","PORT","CAS","NETWT","RNDWT"
"1",NA,2005,6,13,1,1,NA,NA,"","F",77,NA,525732,"Private","Kodiak",0,9,11.9
"2",NA,2005,6,13,1,2,NA,NA,"","F",118,NA,525732,"Private","Kodiak",0,35.7,47.5
"3",NA,2005,6,13,1,3,NA,NA,"","M",89,NA,525732,"Private","Kodiak",0,14.3,19.1
"4",NA,2005,6,13,1,4,NA,13,"","M",71,NA,525732,"Private","Kodiak",0,6.9,9.2
"5",NA,2005,6,13,1,5,NA,8,"","F",98,NA,525733,"Private","Kodiak",0,19.6,26
"6",NA,2005,6,13,1,6,NA,10,"","F",94,NA,525733,"Private","Kodiak",0,17.1,22.7
"7",NA,2005,6,13,1,7,NA,11,"","F",101,NA,525733,"Private","Kodiak",0,21.6,28.7
"8",NA,2005,6,13,1,8,NA,9,"","F",111,NA,525733,"Private","Kodiak",0,29.3,39
"9",NA,2005,6,13,1,9,NA,NA,"","F",105,NA,525733,"Private","Kodiak",0,24.5,32.6
"10",NA,2005,6,13,1,10,NA,NA,"","F",98,NA,525733,"Private","Kodiak",0,19.6,26
"11",NA,2005,6,13,1,11,NA,NA,"I","M",83,NA,525733,"Private","Kodiak",0,11.4,15.2
"12",NA,2005,6,13,1,12,NA,NA,"","M",93,NA,525733,"Private","Kodiak",0,16.5,22
"13",NA,2005,6,13,1,13,NA,NA,"I","F",81,NA,525733,"Charter","Kodiak",0,10.6,14
"14",NA,2005,6,13,1,14,NA,NA,"","F",147,NA,525733,"Charter","Kodiak",0,72.8,96.9
"15",NA,2005,6,13,1,15,NA,16,"","M",90,NA,525733,"Charter","Kodiak",0,14.9,19.8
"16",NA,2005,6,13,1,16,NA,16,"","M",78,NA,525733,"Charter","Kodiak",0,9.3,12.4
"17",NA,2005,6,13,1,17,NA,12,"","M",78,NA,525733,"Charter","Kodiak",0,9.3,12.4
"18",NA,2005,6,13,1,18,NA,10,"","",NA,NA,525733,"Private","Kodiak",0,NA,NA
