"PORT","SUB","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","YEAR","MONTH","DAY","COMMENTS"
"CCI","A",130,2014-07-14,1,1,"F",128,,"19","18",,,"C","HIGHLINER",515903,2014,7,14,
"CCI","A",130,2014-07-14,1,2,"F",107,,"10","10",,,"C","HIGHLINER",515903,2014,7,14,
"CCI","A",130,2014-07-14,1,3,"F",94,,"8","8",,,"C","HIGHLINER",515903,2014,7,14,
"CCI","A",130,2014-07-14,1,4,"F",126,,"19","17",,,"C","HIGHLINER",515903,2014,7,14,
"CCI","A",130,2014-07-14,1,5,"F",97,,"10","10",,,"C","HIGHLINER",515903,2014,7,14,
"CCI","A",130,2014-07-14,1,6,"",126,,"20","20",,,"C","HIGHLINER",515903,2014,7,14,
"CCI","A",130,2014-07-14,1,7,"",134,,"21","20",,,"C","GHOST",525901,2014,7,14,
"CCI","A",130,2014-07-14,1,8,"M",95,,"16","16",,,"C","GHOST",525901,2014,7,14,
"CCI","A",130,2014-07-14,1,9,"F",97,,"10","10",,,"C","GHOST",525901,2014,7,14,
"CCI","A",130,2014-07-14,1,10,"F",92,,"8","8",,,"C","GHOST",525901,2014,7,14,
"CCI","A",130,2014-07-14,1,11,"F",96,,"9","10",,,"C","GHOST",525901,2014,7,14,
"CCI","A",130,2014-07-14,1,12,"F",94,,"8","8",,,"C","GHOST",525901,2014,7,14,
"CCI","A",130,2014-07-14,1,13,"F",110,,"11","11",,,"C","GHOST",525901,2014,7,14,
"CCI","A",130,2014-07-14,1,14,"F",93,,"9","9",,,"C","GHOST",525901,2014,7,14,
"CCI","A",130,2014-07-14,1,15,"F",99,,"10","10",,,"C","GHOST",525901,2014,7,14,
"Homer",,130,2014-07-01,1,1,"",110,,"11",,,,"P","P2",515901,2014,7,1,
"Homer",,130,2014-07-01,1,2,"",102,,"10",,,,"P","P2",515901,2014,7,1,
"Homer",,130,2014-07-01,1,3,"",94,,"8",,,,"P","P2",515901,2014,7,1,
"Homer",,130,2014-07-01,1,4,"",103,,"13","13",,,"P","P2",515901,2014,7,1,
"Homer",,130,2014-07-01,1,5,"",100,,"11","12",,,"P","P2",515901,2014,7,1,
"Homer",,130,2014-07-01,1,6,"",94,,"9",,,,"P","P2",515901,2014,7,1,
"Homer",,130,2014-07-01,1,7,"F",98,,"10","10",,,"P","P2",515901,2014,7,1,
"Homer",,130,2014-07-01,1,8,"",120,,"16",,,,"P","P2",515901,2014,7,1,
"Homer",,130,2014-07-04,2,1,"F",94,,,,,,"P","P1",515937,2014,7,4,"NO FINRAY"
"Homer",,130,2014-07-04,2,2,"F",91,,,,,,"P","P1",515937,2014,7,4,"NO FINRAY"
"Homer",,130,2014-07-04,2,3,"",126,,"17","17",,,"P","P1",515937,2014,7,4,
"Homer",,130,2014-07-04,2,4,"F",91,,"10",,,,"P","P1",515937,2014,7,4,
"Homer",,130,2014-07-04,2,5,"F",96,,"9",,,,"P","P1",515937,2014,7,4,
"Homer",,130,2014-07-04,2,6,"F",119,,"17",,,,"P","P1",515937,2014,7,4,
"Homer",,130,2014-07-04,2,7,"M",91,,"10",,,,"P","P1",515937,2014,7,4,
"Homer",,130,2014-07-04,2,8,"M",101,,"15",,,,"P","P1",515937,2014,7,4,
"Homer",,130,2014-07-04,2,9,"",125,,"I",,,,"P","P1",515937,2014,7,4,
"Homer",,130,2014-07-04,2,10,"M",91,,"12",,,,"P","P1",515937,2014,7,4,
"Homer",,130,2014-07-04,2,11,"F",122,,"15",,,,"C","TOMAHAWK II",515905,2014,7,4,
"Homer",,130,2014-07-06,3,1,"F",108,,"9","9",,,"P","P7",515832,2014,7,6,
"Homer",,130,2014-07-06,3,2,"",105,,"21",,,,"P","P7",515832,2014,7,6,
"Homer",,130,2014-07-06,3,3,"F",108,,"12",,,,"P","P7",515832,2014,7,6,
"Homer",,130,2014-07-06,3,4,"F",95,,"9",,,,"P","P7",515832,2014,7,6,
"Homer",,130,2014-07-06,3,5,"",111,,"12",,,,"P","P7",515832,2014,7,6,
"Homer",,130,2014-07-06,3,6,"F",101,,"9",,,,"P","P7",515832,2014,7,6,
"Homer",,130,2014-07-07,4,1,"M",98,,"16",,,,"C","OBSESSION",525901,2014,7,7,
"Homer",,130,2014-07-07,4,2,"M",107,,"15",,,,"C","OBSESSION",525901,2014,7,7,
"Homer",,130,2014-07-13,5,1,"",123,,"16",,,,"C","STORM PETREL",515832,2014,7,13,
"Homer",,130,2014-07-13,5,2,"F",95,,"9",,,,"C","STORM PETREL",515832,2014,7,13,
"Homer",,130,2014-07-13,5,3,"",115,,"15",,,,"C","STORM PETREL",515832,2014,7,13,
"Homer",,130,2014-07-13,5,4,"",90,,"10","10",,,"C","STORM PETREL",515832,2014,7,13,
"Homer",,130,2014-07-13,5,5,"",98,,"11","10",,,"C","STORM PETREL",515832,2014,7,13,
"Homer",,130,2014-07-13,5,6,"",115,,"15",,,,"C","FRINGE BENEFIT",515832,2014,7,13,
"Homer",,130,2014-07-13,5,7,"",96,,"11",,,,"C","FRINGE BENEFIT",515832,2014,7,13,
"Homer",,130,2014-07-13,5,8,"",111,,"13",,,,"C","FRINGE BENEFIT",515832,2014,7,13,
"Homer",,130,2014-07-13,5,9,"F",125,,"23",,,,"C","BELLE ILE",515906,2014,7,13,"NEED STAT"
"Homer",,130,2014-07-14,6,1,"F",113,,"13","14",,,"C","GRAND ALEUTIAN",525901,2014,7,14,"NEED STAT"
"Homer",,130,2014-07-14,6,2,"F",104,,,,,,"C","STORM PETREL",515832,2014,7,14,"FIN RAY MISSING"
"Homer",,130,2014-07-14,6,3,"F",98,,"11","11",,,"C","STORM PETREL",515832,2014,7,14,
