"PORT","SUB","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","YEAR","MONTH","DAY","COMMENTS"
"Homer",,130,2011-06-24,1,1,"F",97,,,,,,"P","P1",525902,2011,6,24,"EVIDENCE REPORT DONE- FROM INTERVIEW DAY, NO FINRAY, WRONG FIN"
"Homer",,130,2011-07-01,2,1,"F",99,,9,,"2",,"P","P5",515906,2011,7,1,
"Homer",,130,2011-07-01,2,2,"F",94,7,7,,"2",,"P","P5",515906,2011,7,1,
"Homer",,130,2011-07-01,2,3,"F",128,19,16,,"1",,"P","P5",515906,2011,7,1,
"Homer",,130,2011-07-01,2,4,"M",94,7.5,12,,"2",,"P","P5",515906,2011,7,1,
"Homer",,130,2011-07-01,2,5,"M",91,7.5,10,,"2",,"P","P5",515906,2011,7,1,
"Homer",,130,2011-07-01,2,6,"M",97,,13,,"2",,"P","P5",515906,2011,7,1,
"Homer",,130,2011-07-01,2,7,"F",113,,13,,"2",,"C","ASHTIKAN",515901,2011,7,1,"CAS"
"Homer",,130,2011-07-01,2,8,"F",102,,10,,"2",,"C","ASHTIKAN",515901,2011,7,1,"CAS"
"Homer",,130,2011-07-01,2,9,"F",121,,14,,"1",,"C","ASHTIKAN",515901,2011,7,1,"CAS"
"Homer",,130,2011-07-01,2,10,"F",120,,12,12,"2",,"C","ASHTIKAN",515901,2011,7,1,"CAS"
"Homer",,130,2011-07-01,2,11,"F",111,,9,,"2",,"C","ASHTIKAN",515901,2011,7,1,"CAS"
"Homer",,130,2011-07-01,2,12,"F",125,,16,,"1",,"C","ASHTIKAN",515901,2011,7,1,"CAS, NO OTO"
"Homer",,130,2011-07-01,2,13,"M",101,,10,,"2",,"C","ASHTIKAN",515901,2011,7,1,"CAS"
"Homer",,130,2011-07-01,2,14,"M",112,,17,,"1",,"C","ASHTIKAN",515901,2011,7,1,"CAS"
"Homer",,130,2011-07-01,2,15,"M",107,,13,,"2",,"C","ASHTIKAN",515901,2011,7,1,"CAS"
"Homer",,130,2011-07-01,2,16,"M",109,,24,,"1",,"C","ASHTIKAN",515901,2011,7,1,"CAS"
"Homer",,130,2011-07-01,2,17,"M",128,,23,,"1",,"C","ASHTIKAN",515901,2011,7,1,"CAS, NO OTO"
"Homer",,130,2011-07-01,2,18,"M",125,,15,,"2",,"C","ASHTIKAN",515901,2011,7,1,"CAS"
"Homer",,130,2011-07-03,3,1,"F",122,,,,,,"C","TIA ROSE",515904,2011,7,3,"CAS, NO FINRAY"
