"PORT","SUB","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","YEAR","MONTH","DAY","COMMENTS"
"Homer",,130,2017-07-01,1,1,"F",126,,13,13,2,,"P","P3",525902,2017,7,1,
"Homer",,130,2017-07-01,1,2,"F",108,,10,10,2,,"P","P3",525902,2017,7,1,
"Homer",,130,2017-07-01,1,3,"F",110,,10,10,2,,"P","P3",525902,2017,7,1,
"Homer",,130,2017-07-01,1,4,"F",122,,17,17,1,,"P","P3",525902,2017,7,1,
"Homer",,130,2017-07-01,1,5,"F",78,,,,,,"C","CASINO",535833,2017,7,1,"FIN MUTILATED, NO SAMPLE (stat area not written on envelope)"
"Homer",,130,2017-07-01,1,6,"F",78,,,,,,"C","CASINO",535833,2017,7,1,"FIN MUTILATED, NO SAMPLE (stat area not written on envelope)"
"Homer",,130,2017-07-01,1,7,"F",80,,,,,,"C","CASINO",535833,2017,7,1,"FIN MUTILATED, NO SAMPLE (stat area not written on envelope)"
"Homer",,130,2017-07-01,1,8,"M",103,,,,,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,9,"F",123,,19,19,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,10,"F",116,,14,,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,11,"M",95,,20,,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,12,"F",125,,18,18,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,13,"F",117,,15,,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,14,"M",95,,13,,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,15,"M",93,,13,,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,16,"M",99,,17,17,1,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,17,"M",76,,5,,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,18,"F",104,,11,,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,19,"F",125,,17,,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,20,"F",111,,13,,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,21,"F",115,,14,13,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-01,1,22,"F",112,,12,12,2,,"C","CASINO",535833,2017,7,1,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,1,"M",89,,13,14,2,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,2,"M",97,,14,14,1,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,3,"F",112,,13,,2,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,4,"F",77,,5,,2,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,5,"F",128,,20,,2,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,6,"M",99,,15,16,2,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,7,"F",108,,12,11,2,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,8,"M",98,,17,,2,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,9,"M",71,,5,5,2,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,10,"F",73,,5,,1,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,11,"F",109,,13,,2,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,12,"M",99,,13,13,1,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,13,"F",78,,5,5,1,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,14,"M",80,,12,,2,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,15,"F",112,,13,,2,,"C","CASINO",535833,2017,7,2,"(stat area not written on envelope)"
"Homer",,130,2017-07-02,2,16,"F",116,,,,,,"C","CASINO",535833,2017,7,2,"No Finray (stat area not written on envelope)"
"Homer",,130,2017-07-02,2,17,"F",123,,20,,2,,"C","NAUTILUS II",525902,2017,7,2,
"Homer",,130,2017-07-02,2,18,"F",129,,18,,1,,"C","NAUTILUS II",525902,2017,7,2,
"Homer",,130,2017-08-19,3,1,"F",126,,16,,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,2,"F",120,,19,,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,3,"F",116,,14,14,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,4,"F",122,,19,18,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,5,"F",76,,5,5,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,6,"F",111,,12,,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,7,"F",114,,17,,2,,"C","CASINO",515833,2017,8,19,"DAMAGED FIN"
"Homer",,130,2017-08-19,3,8,"M",90,,12,,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,9,"F",168,,14,14,1,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,10,"F",122,,21,21,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,11,"M",111,,16,,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,12,"F",89,,10,,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,13,"M",97,,15,,1,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,14,"M",107,,10,11,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,15,"F",78,,5,,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,16,"F",114,,13,14,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-19,3,17,"F",94,,14,14,2,,"C","CASINO",515833,2017,8,19,
"Homer",,130,2017-08-23,4,1,"F",137,,21,21,1,,"P","P2",515902,2017,8,23,
"Homer",,130,2017-08-23,4,2,"F",132,,22,22,2,,"P","P2",515902,2017,8,23,
