"PORT","SUB","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","YEAR","MONTH","DAY","COMMENTS"
"Homer",,130,2009-07-03,1,1,"F",96,,9,9,2,,"C","TOMAHAWK II",515904,2009,7,3,
"Homer",,130,2009-07-03,1,2,"F",98,,9,,2,,"C","TOMAHAWK II",515904,2009,7,3,
"Homer",,130,2009-07-03,1,3,"F",116,,17,,2,,"C","TOMAHAWK II",515904,2009,7,3,
"Homer",,130,2009-07-03,1,4,"F",102,,10,,2,,"C","TOMAHAWK II",515904,2009,7,3,
"Homer",,130,2009-07-03,1,5,"F",89,,6,,2,,"C","TOMAHAWK II",515904,2009,7,3,
"Homer",,130,2009-07-03,1,6,"F",125,,17,,2,,"C","TOMAHAWK II",515904,2009,7,3,
"Homer",,130,2009-07-03,1,7,"M",89,,11,,2,,"C","TOMAHAWK II",515904,2009,7,3,
"Homer",,130,2009-07-03,1,8,"M",98,,12,,2,,"C","TOMAHAWK II",515904,2009,7,3,
"Homer",,130,2009-07-03,1,9,"M",107,,19,,2,,"C","TOMAHAWK II",515904,2009,7,3,
"Homer",,130,2009-07-03,1,10,"M",92,,12,,2,,"C","TOMAHAWK II",515904,2009,7,3,
"Homer",,130,2009-07-03,1,11,"M",96,,12,12,2,,"C","TOMAHAWK II",515904,2009,7,3,
"Homer",,130,2009-07-03,1,12,"",100,,8,,2,,"C","TOMAHAWK II",515904,2009,7,3,
"Homer",,130,2009-07-05,2,1,"F",104,,21,22,1,,"C","BEAR FORCE II",515903,2009,7,5,
"Homer",,130,2009-07-05,2,2,"M",94,,13,,1,,"C","MEMORY MAKER",515901,2009,7,5,
"Homer",,130,2009-07-05,2,3,"F",112,,11,,2,,"C","MEMORY MAKER",515901,2009,7,5,
"Homer",,130,2009-07-05,2,4,"F",100,,9,10,2,,"C","MEMORY MAKER",515901,2009,7,5,
"Homer",,130,2009-07-07,3,1,"M",94,12,12,,2,,"C","OUTER COAST",525901,2009,7,7,"LW OUTLIER"
"Homer",,130,2009-07-07,3,2,"F",124,21.5,20,20,1,,"P","P1",505903,2009,7,7,"stat area = 505903"
"Homer",,130,2009-07-07,3,3,"F",125,,17,,2,,"P","P1",505903,2009,7,7,"stat area = 505903"
"Homer",,130,2009-07-07,3,4,"F",126,,19,,1,,"P","P1",505903,2009,7,7,"stat area = 505903"
"Homer",,130,2009-07-07,3,5,"M",98,10.5,17,19,1,,"P","P1",505903,2009,7,7,"stat area = 505903"
"Homer",,130,2009-07-07,3,6,"M",100,,18,,1,,"P","P1",505903,2009,7,7,"stat area = 505903"
"Homer",,130,2009-07-07,3,7,"F",116,16.5,13,,2,,"P","P1",505903,2009,7,7,"stat area = 505903"
"Homer",,130,2009-07-07,3,8,"F",130,22.5,19,,2,,"P","P1",505903,2009,7,7,"stat area = 505903"
"Homer",,130,2009-07-07,3,9,"M",90,8,11,,2,,"P","P1",505903,2009,7,7,"stat area = 505903"
"Homer",,130,2009-07-09,4,1,"F",92,8,9,,2,,"C","HUNTRESS",515905,2009,7,9,
"Homer",,130,2009-07-09,4,2,"M",105,11.5,15,17,2,,"C","HUNTRESS",515905,2009,7,9,"1 oto"
"Homer",,130,2009-07-09,4,3,"M",107,12.5,19,20,1,,"C","HUNTRESS",515905,2009,7,9,"1 oto"
"Homer",,130,2009-07-12,5,1,"F",112,,13,,2,,"P","P1",,2009,7,12,"found in bin"
"Homer",,130,2009-07-12,5,2,"F",117,,14,,2,,"P","P1",,2009,7,12,"found in bin"
"Homer",,130,2009-07-12,5,3,"F",126,,16,,2,,"P","P1",,2009,7,12,"found in bin"
"Homer",,130,2009-07-12,5,4,"F",106,,12,,2,,"P","P1",,2009,7,12,"found in bin"
"Homer",,130,2009-07-12,5,5,"F",117,,12,,2,,"P","P1",,2009,7,12,"found in bin"
"Homer",,130,2009-07-12,5,6,"M",99,,14,18,2,,"P","P1",,2009,7,12,"found in bin"
"Homer",,130,2009-07-12,5,7,"M",85,,8,,2,,"P","P1",,2009,7,12,"Under-size -  1 oto  -found in bin"
"Homer",,130,2009-07-12,5,8,"F",137,,21,22,1,,"C","WOLVERINE",525902,2009,7,12,
"Homer",,130,2009-07-12,5,9,"F",131,,21,,1,,"C","WOLVERINE",525902,2009,7,12,
"Homer",,130,2009-07-12,5,10,"F",110,,12,,2,,"C","WOLVERINE",525902,2009,7,12,
"Homer",,130,2009-07-12,5,11,"F",124,,20,,2,,"C","WOLVERINE",525902,2009,7,12,
"Homer",,130,2009-07-12,5,12,"F",111,,12,,2,,"C","WOLVERINE",525902,2009,7,12,
