"PORT","SUB","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","YEAR","MONTH","DAY","COMMENTS"
"CCI",1,130,2010-08-08,1,1,"F",128,,23,23,"2",,"C","OTTER SEA",515903,2010,8,8,
"CCI",1,130,2010-08-08,1,2,"F",103,,9,9,"2",,"C","OTTER SEA",515903,2010,8,8,
"CCI",1,130,2010-08-08,1,3,"F",110,,10,11,"2",,"C","OTTER SEA",515903,2010,8,8,
"CCI",1,130,2010-08-08,1,4,"F",134,,26,26,"1",,"C","OTTER SEA",515903,2010,8,8,
"CCI",1,130,2010-08-08,1,5,"F",106,,13,13,"2",,"C","OTTER SEA",515903,2010,8,8,
"CCI",1,130,2010-08-08,1,6,"M",97,,12,12,"2",,"C","OTTER SEA",515903,2010,8,8,
"CCI",1,130,2010-08-08,1,7,"M",107,,21,21,"2",,"C","OTTER SEA",515903,2010,8,8,
"CCI",1,130,2010-08-08,1,8,"M",99,,11,11,"2",,"C","OTTER SEA",515903,2010,8,8,
"CCI",1,130,2010-08-08,1,9,"M",99,,13,13,"2",,"C","OTTER SEA",515903,2010,8,8,
"CCI",1,130,2010-08-08,1,10,"M",102,,,,"I",,"C","OTTER SEA",515903,2010,8,8,"ILLEGIBLE"
"CCI",1,130,2010-08-08,1,11,"M",97,,13,13,"2",,"C","OTTER SEA",515903,2010,8,8,
"Homer",,130,2010-07-02,1,1,"M",96,10.5,14,,"2",,"C","BELLE ISLE",515903,2010,7,2,
"Homer",,130,2010-07-02,1,2,"M",92,9.9,12,,"2",,"C","OBSESSION",525931,2010,7,2,
"Homer",,130,2010-07-02,1,3,"",121,,,,,,"C","RED RYDER",515904,2010,7,2,"COLLECTED THE WRONG FIN (7/2-7/4)"
"Homer",,130,2010-07-02,1,4,"M",98,,,,,,"C","RED RYDER",515904,2010,7,2,
"Homer",,130,2010-07-02,1,5,"F",133,,,,,,"C","RED RYDER",515904,2010,7,2,
"Homer",,130,2010-07-02,1,6,"",93,7.5,,,,,"C","WILD THING",515905,2010,7,2,
"Homer",,130,2010-07-02,1,7,"M",105,,,,,,"P","P3",515905,2010,7,2,
"Homer",,130,2010-07-03,2,1,"",98,,,,,,"C","HUNTRESS",525837,2010,7,3,
"Homer",,130,2010-07-03,2,2,"F",122,,,,,,"C","HUNTRESS",525837,2010,7,3,
"Homer",,130,2010-07-04,3,1,"",119,,,,,,"C","ASHTIKAN",515906,2010,7,4,
"Homer",,130,2010-07-04,3,2,"M",97,,,,,,"C","ASHTIKAN",515906,2010,7,4,
"Homer",,130,2010-07-04,3,3,"F",100,,,,,,"C","ASHTIKAN",515906,2010,7,4,
"Homer",,130,2010-07-04,3,4,"",96,,,,,,"C","FRINGE BENEFIT",515902,2010,7,4,
"Homer",,130,2010-07-04,3,5,"F",105,,,,,,"C","FRINGE BENEFIT",515902,2010,7,4,
"Homer",,130,2010-07-04,3,6,"",112,,,,,,"C","FRINGE BENEFIT",515902,2010,7,4,
