"","species","SFmgmtarea","YEAR","n","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"11","China","CI",1998,132,0.0202020202020202,0.000201978556956912,0,0,36.3636363636364,26.0350146167563,0,0,36.3636363636364,26.0350146167563,0.00907729315118232,0.00651701301813306
"12","DrkDsky","CI",1998,132,0.0707070707070707,0.000670485518970367,0.333333333333333,0.00694444444444444,127.272727272727,51.614085036012,735.333333333333,224.450733891526,862.606060606061,230.308805125964,0.215328522367963,0.0502729396290572
"13","Quillback","CI",1998,132,0.0101010101010101,0.000102030405060708,0,0,18.1818181818182,18.1818181818182,0,0,18.1818181818182,18.1818181818182,0.00453864657559116,0.00458504302848619
"14","Shortraker","CI",1998,132,0.0404040404040404,0.000395628101255807,0,0,72.7272727272727,37.7134434571378,0,0,72.7272727272727,37.7134434571378,0.0181545863023646,0.00930847976237454
"15","Yelloweye","CI",1998,132,0.303030303030303,0.0021551320252619,0,0,545.454545454545,131.021423965614,0,0,545.454545454545,131.021423965614,0.136159397267735,0.0285671854367163
"16","Black","CI",1999,295,0.51528384279476,0.0010954666848659,0.606060606060606,0.00367309458218549,1184.12227074236,309.287996015006,2382.42424242424,524.027929494913,3566.5465131666,608.493496571413,0.572571281612875,0.040718741069584
"17","China","CI",1999,295,0,0,0.0151515151515152,0.000229568411386593,0,0,59.5606060606061,59.5606060606061,59.5606060606061,59.5606060606061,0.00956182470069129,0.00962869738935987
"18","DrkDsky","CI",1999,295,0.205240174672489,0.000715423883214453,0.303030303030303,0.0032492759765487,471.64192139738,133.612023583367,1191.21212121212,321.364733724246,1662.8540426095,348.033712343643,0.266953610950313,0.038011751728414
"19","Quillback","CI",1999,295,0.00873362445414847,3.79708256931683e-05,0.0151515151515152,0.000229568411386593,20.0698689956332,14.6128731688216,59.5606060606061,59.5606060606061,79.6304750562392,61.3270075623682,0.012783829676712,0.00984005274732244
"20","Tiger","CI",1999,295,0.00436681222707424,1.9069049026525e-05,0,0,10.0349344978166,10.0349344978166,0,0,10.0349344978166,10.0349344978166,0.00161100248801037,0.00164375419603635
"21","Yelloweye","CI",1999,295,0.266375545851528,0.000857103572034336,0.0606060606060606,0.000875891784982694,612.131004366812,168.38057035373,238.242424242424,123.33159967396,850.373428609236,208.7167936482,0.136518450571398,0.0264986991301038
"22","Black","CI",2000,251,0.223809523809524,0.000831190530438651,0.658536585365854,0.00562165377751339,671.652380952381,166.320170257522,2056.60975609756,518.448135654353,2728.26213704994,544.473018980707,0.445503288218475,0.0529454475525274
"23","China","CI",2000,251,0.00952380952380952,4.51344812247068e-05,0,0,28.5809523809524,20.6190694982143,0,0,28.5809523809524,20.6190694982143,0.00466703990544618,0.00337438118945497
"24","DrkDsky","CI",2000,251,0.157142857142857,0.000633727175080559,0.341463414634146,0.00562165377751338,471.585714285714,124.749289242415,1066.39024390244,332.114079867748,1537.97595818815,354.770555729881,0.251139117927523,0.0426542267843536
"25","Quillback","CI",2000,251,0.0428571428571429,0.000196269895518016,0,0,128.614285714286,49.3917124294472,0,0,128.614285714286,49.3917124294472,0.0210016795745078,0.00763069071342876
"26","Tiger","CI",2000,251,0.0142857142857143,6.73762327897666e-05,0,0,42.8714285714286,25.7446101478518,0,0,42.8714285714286,25.7446101478518,0.00700055985816926,0.0041728233440932
"27","Yelloweye","CI",2000,251,0.552380952380952,0.00118304419056299,0,0,1657.69523809524,367.626177200464,0,0,1657.69523809524,367.626177200464,0.270688314515878,0.0461228495990307
"28","Black","CI",2001,194,0.259541984732824,0.00147830725302901,0.476190476190476,0.00402311462219296,614.335877862595,150.502536780273,1075.71428571429,269.242885518333,1690.05016357688,308.452176162749,0.365337259744246,0.0399302673987219
"29","China","CI",2001,194,0.0229007633587786,0.000172125526125876,0,0,54.206106870229,32.2676740002354,0,0,54.206106870229,32.2676740002354,0.0117177057652895,0.00691631473204627
"30","DrkDsky","CI",2001,194,0.183206106870229,0.00115108945596679,0.507936507936508,0.00403124212648022,433.648854961832,116.267792783366,1147.42857142857,282.523901824325,1581.0774263904,305.512609790098,0.341780680153568,0.0426602567756745
"31","Quillback","CI",2001,194,0.0152671755725191,0.000115646837865823,0.0158730158730159,0.000251952632905014,36.1374045801527,25.9527570322673,35.8571428571429,35.8571428571429,71.9945474372955,44.2637582165529,0.0155630236570029,0.00950582868765134
"32","Tiger","CI",2001,194,0.00763358778625954,5.82716624905309e-05,0,0,18.0687022900763,18.0687022900763,0,0,18.0687022900763,18.0687022900763,0.00390590192176315,0.0039451229343867
"33","Yelloweye","CI",2001,194,0.511450381679389,0.00192206837507228,0,0,1210.60305343511,259.610507456541,0,0,1210.60305343511,259.610507456541,0.261695428758131,0.0434222474226964
"34","Black","CI",2002,218,0.534883720930233,0.00145487208195358,0.369565217391304,0.00517748372190716,1293.88372093023,271.703279383143,1262.4347826087,321.105156300964,2556.31850353893,420.631897780732,0.438100857504529,0.0461787349177026
"35","China","CI",2002,218,0.00581395348837209,3.3802055164954e-05,0,0,14.0639534883721,14.0639534883721,0,0,14.0639534883721,14.0639534883721,0.00241027480520516,0.00243781299864081
"36","DrkDsky","CI",2002,218,0.162790697674419,0.000797016879678916,0.58695652173913,0.0053875236294896,393.790697674419,102.76817198645,2005.04347826087,415.993741773487,2398.83417593529,428.499813731749,0.411111255515902,0.0519044194275997
"37","Quillback","CI",2002,218,0.0232558139534884,0.000132836146613153,0,0,56.2558139534884,29.5111842192477,0,0,56.2558139534884,29.5111842192477,0.00964109922082063,0.0049966129428169
"38","Tiger","CI",2002,218,0.00581395348837209,3.3802055164954e-05,0,0,14.0639534883721,14.0639534883721,0,0,14.0639534883721,14.0639534883721,0.00241027480520516,0.00243781299864081
"39","Yelloweye","CI",2002,218,0.267441860465116,0.00114571176453844,0.0434782608695652,0.000924175593362739,646.941860465116,151.169212061144,148.521739130435,105.347851407901,795.463599595551,184.256073092445,0.136326238148338,0.026678983234673
"40","Black","CI",2003,491,0.4025,0.000602741228070175,0.615384615384615,0.00262984878369494,1634.5525,253.448970247283,2125.53846153846,405.600798679621,3760.09096153846,478.276476955489,0.500344771994473,0.0295218586881527
"41","China","CI",2003,491,0.0025,6.25e-06,0,0,10.1525,10.1525,0,0,10.1525,10.1525,0.00135096473719228,0.00135809097838469
"42","DrkDsky","CI",2003,491,0.285,0.000510714285714286,0.252747252747253,0.00209851198862188,1157.385,188.612945539271,872.989010989011,216.582774682698,2030.37401098901,287.198435779613,0.270176182433667,0.024405958194886
"43","Quillback","CI",2003,491,0.0175,4.30921052631579e-05,0.021978021978022,0.000238833205866173,71.0675,28.2699362060141,75.9120879120879,54.1826618217333,146.979587912088,61.1142383997413,0.0195581620641501,0.00794341955253604
"44","Silvergray","CI",2003,491,0.0025,6.25e-06,0,0,10.1525,10.1525,0,0,10.1525,10.1525,0.00135096473719228,0.00135809097838469
"45","Tiger","CI",2003,491,0.0025,6.25e-06,0.010989010989011,0.000120758362516604,10.1525,10.1525,37.956043956044,37.956043956044,48.108543956044,39.2903872345787,0.00640166918909434,0.00524950614425663
"46","Yelloweye","CI",2003,491,0.2875,0.000513392857142857,0.0989010989010989,0.000990218572636155,1167.5375,189.998918171262,341.604395604396,122.170905412097,1509.1418956044,225.887846143748,0.200817284844231,0.0216556608137779
"47","Black","CI",2004,255,0.515695067264574,0.00112501650839442,0.21875,0.00551285282258065,3311.27802690583,540.338860089134,729.53125,286.566700366286,4040.80927690583,611.62615827092,0.414187092753775,0.0378037953048075
"48","China","CI",2004,255,0.00448430493273543,2.01089907297553e-05,0,0,28.7937219730942,28.7937219730942,0,0,28.7937219730942,28.7937219730942,0.00295138601610231,0.00296286128700089
"49","Copper","CI",2004,255,0.00896860986547085,4.00368193808641e-05,0.0625,0.00189012096774194,57.5874439461883,41.0871340990212,208.4375,148.368050816287,266.024943946188,153.95204153078,0.0272678294327786,0.0157443567713816
"50","Dark","CI",2004,255,0.125560538116592,0.000494572474704792,0.28125,0.00652091733870968,806.224215246637,185.883256361461,937.96875,328.927517031387,1744.19296524664,377.817279191905,0.178781566753448,0.0325276165690868
"51","DrkDsky","CI",2004,255,0.00448430493273543,2.01089907297553e-05,0,0,28.7937219730942,28.7937219730942,0,0,28.7937219730942,28.7937219730942,0.00295138601610231,0.00296286128700089
"52","Dusky","CI",2004,255,0.0403587443946188,0.000174459081736525,0.40625,0.00778099798387097,259.143497757848,92.4205193987355,1354.84375,404.745327906882,1613.98724775785,415.163019630099,0.165435347248652,0.0379031978559821
"53","Quillback","CI",2004,255,0.00448430493273543,2.01089907297553e-05,0,0,28.7937219730942,28.7937219730942,0,0,28.7937219730942,28.7937219730942,0.00295138601610231,0.00296286128700089
"54","Tiger","CI",2004,255,0.0179372197309417,7.93489904471424e-05,0,0,115.174887892377,59.1294184844985,0,0,115.174887892377,59.1294184844985,0.0118055440644093,0.00595464117874484
"55","Yelloweye","CI",2004,255,0.278026905829596,0.000904179934524402,0.03125,0.0009765625,1785.21076233184,328.823362249501,104.21875,104.21875,1889.42951233184,344.943983006849,0.19366846169863,0.0266705064735676
"56","Black","CI",2005,233,0.415789473684211,0.00128523062041068,0.720930232558139,0.00479023410337634,2285.17894736842,385.186363915102,4405.60465116279,886.689464319155,6690.78359853121,966.740265573296,0.576443835489895,0.0438297539555747
"57","Copper","CI",2005,233,0.0105263157894737,5.51085315628252e-05,0,0,57.8526315789474,41.2330546694463,0,0,57.8526315789474,41.2330546694463,0.00498428806573166,0.00356635211441949
