"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","GAFHAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELRVENT","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YERVENT","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPRVENT","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"2133","Seward","P12",160000,21,1,1,"B",475933,3,3,0,1,6,0,"N",0,2,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,7,"Private","","Out",3,2,0,0,0,0,0,0,0,6
"2134","Seward","P15",160000,21,1,1,"B",495932,3,2,0,2.5,0,0,"N",0,0,0,1,"N",0,0,2,0,50,1,"N",0,0,0,0,0,0,"N",0,0,0,0,0,1,"N",0,0,3,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,7,"Private","","Out",2,0,3,2,2,0,0,2,0,0
"2135","Seward","P16",160000,21,1,3,"H",495938,3,9,0,23,5,0,"N",5,2,0,3,"N",3,0,0,0,0,0,"N",0,0,0,0,0,3,"N",3,0,0,0,0,0,"N",0,0,0,2,"N",0,0,1,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,1,0,"N",0,0,2016,8,7,"Private","","Out",9,2,0,6,0,0,0,0,6,5
"2136","Seward","P17",160000,21,1,1,"B+S",495938,3,6,0,6,0,0,"N",0,0,0,8,"N",0,4,0,0,100,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,2,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,7,"Private","","Out",6,0,0,8,4,0,0,4,0,0
"2137","Seward","JACKPOT",160270,21,1,1,"H",485933,3,14,0,4,28,0,"N",0,3,0,6,"N",0,0,0,0,0,1,"N",0,0,0,0,0,7,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,7,"Charter","","Out",14,3,0,14,0,0,0,0,0,28
"2138","Seward","P18",160000,21,1,1,"B+S",495938,3,4,0,7,8,0,"N",0,5,0,11,"N",0,2,0,0,30,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,7,"Private","","Out",4,5,0,11,2,0,0,2,0,8
"2139","Seward","ARCTIC WARRIOR",160261,21,1,1,"H",485932,3,14,0,5,28,0,"N",0,18,0,48,"N",0,0,0,0,0,0,"N",0,0,0,0,0,1,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,7,"Charter","","Out",14,18,0,49,0,0,0,0,0,28
"2140","Seward","P19",160000,21,1,1,"B",485932,3,5,0,6,3,0,"N",0,2,0,6,"N",0,3,0,0,20,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,1,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,7,"Private","","Out",5,2,0,6,3,0,0,3,0,3
"2141","Seward","CRACKERJACK VOYAGER",160316,21,1,1,"B+S",475932,3,14,0,5,21,0,"N",2,17,2,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,1,"N",1,0,0,0,0,1,"N",1,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,1,0,"N",0,0,2016,8,7,"Charter","","Out",14,19,0,1,0,0,0,0,1,21
"2142","Seward","AUTUMN SEA",160118,15,1,1,"B",495932,3,4,0,5,8,0,"N",0,10,0,12,"N",0,1,0,0,60,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,8,"Charter","","Out",4,10,0,12,1,0,0,1,0,8
