"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","P_KPT_CAS","PELREL","PRELMETH","PELDEPTH","YEKEPT","YEVER","YECAS","YEREL","YERELMETH","YEDEPTH","NPKEPT","NPVER","NPCAS","NPREL","NPRELMETH","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","PCAS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL","TRFCAS"
"418","CCI","",NA,16,1,1,"H",515938,NA,5,0,2,10,"N",0,0,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,10,"Private","DeepCr","",5,0,0,0,0,0
"419","CCI","KYRA KAY",122032,12,1,1,"H",525931,NA,5,0,6,10,"N",0,10,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",5,10,0,0,0,0
"420","CCI","STELLAR",122154,12,1,1,"H",515938,NA,6,0,4,12,"N",0,3,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,3,0,0,0,0
"421","CCI","ARCTIC EXPEDITION",123174,12,1,1,"H",525931,NA,6,1,3,14,"N",0,7,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",7,7,0,0,0,0
"422","CCI","",NA,12,1,1,"H",525931,NA,4,0,3.5,5,"N",0,1,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Private","DeepCr","",4,1,0,0,0,0
"423","CCI","",NA,12,1,1,"H",515938,NA,5,0,4,10,"N",0,21,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Private","DeepCr","",5,21,0,0,0,0
"424","CCI","DISCOVER II",121844,12,1,1,"H",515938,NA,6,0,2,12,"N",0,12,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,1,"N",1,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,12,0,0,0,0
"425","CCI","VOYAGEUR",122049,12,1,1,"H",525931,NA,7,0,4,14,"N",0,17,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",7,17,0,0,0,0
"426","CCI","",NA,12,1,1,"H",525931,NA,2,0,5,4,"N",0,9,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Private","DeepCr","",2,9,0,0,0,0
"427","CCI","AFISHUNT II",122036,12,1,1,"H",525931,NA,6,0,4,12,"N",0,12,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,3,"N",3,2,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,12,0,0,0,0
