"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PELREL","PELDEPTH","NPKEPT","NPVER","NPREL","NPDEPTH","LCKEPT","LCVER","LCRELOVR","LCRELUND","CODKEPT","CODREL","SSKKEPT","SSKREL","SDFKEPT","SDFREL","PSSKEPT","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL"
"24","CCI","",NA,13,1,1,"B+S",525931,NA,7,0,5,4,"N",0,7,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,7,13,0,0,0,0,0,0,2009,5,25,"Private","AnchorPt","",7,7,0,NA,0
"25","CCI","",NA,14,1,1,"B",525931,NA,4,0,4,2,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,1,0,0,0,0,0,0,0,2009,5,25,"Private","AnchorPt","",4,0,0,NA,0
"26","CCI","",NA,14,1,1,"B",525931,NA,3,0,5,6,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,2,0,0,0,0,0,0,2009,5,25,"Private","AnchorPt","",3,0,0,NA,0
"27","CCI","GAME FISHER",91812,14,1,1,"B+S",525931,NA,6,0,3,12,"N",0,6,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,3,0,0,0,0,0,0,0,2009,5,25,"Charter","AnchorPt","",6,6,0,NA,0
"28","CCI","",NA,14,1,1,"B+S",525931,NA,3,0,4,5,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,7,0,0,0,0,0,0,2009,5,25,"Private","AnchorPt","",3,0,0,NA,0
"29","CCI","SKYWALKER",91754,14,1,1,"B+S",525931,NA,5,0,8,10,"N",0,5,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,2,3,0,0,0,0,0,0,2009,5,25,"Charter","AnchorPt","",5,5,0,NA,0
"30","CCI","",NA,14,1,1,"B+S",525931,NA,5,0,8,9,"N",0,6,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,5,0,0,0,0,0,0,2009,5,25,"Private","AnchorPt","",5,6,0,NA,0
"31","CCI","MAGIC MAIDEN",93376,14,1,1,"B+S",525931,NA,5,0,5,10,"N",0,6,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,5,0,0,0,0,0,0,0,2009,5,25,"Charter","AnchorPt","",5,6,0,NA,0
"32","CCI","LUCKY T",90059,14,1,1,"B+S",525931,NA,3,0,7,5,"N",0,6,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,3,0,0,0,0,0,0,0,2009,5,25,"Charter","AnchorPt","",3,6,0,NA,0
"33","CCI","O'DEA",91793,15,1,1,"B+S",525931,NA,5,0,4,10,"N",0,2,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,1,0,0,0,0,0,0,0,2009,5,25,"Charter","AnchorPt","",5,2,0,NA,0
"34","CCI","SPARE CHANGE",91457,15,1,1,"B+S",525931,NA,5,0,4,6,"N",0,8,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,5,0,0,0,0,0,0,0,2009,5,25,"Charter","AnchorPt","",5,8,0,NA,0
"35","CCI","",NA,15,1,1,"B",525931,NA,5,0,7.5,2,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,25,"Private","AnchorPt","",5,0,0,NA,0
"36","CCI","O FISHIAL",91757,16,1,1,"B+S",525931,NA,6,0,4,12,"N",12,21,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,6,0,0,0,0,0,0,2009,5,25,"Charter","AnchorPt","",6,21,0,NA,0
"37","CCI","CATCHER II",91737,16,1,1,"B+S",525931,NA,6,0,5,11,"N",0,22,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,2,1,0,0,0,0,0,0,2009,5,25,"Charter","AnchorPt","",6,22,0,NA,0
"38","CCI","",NA,16,1,1,"B+S",525931,NA,5,0,4,10,"N",0,15,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,25,"Private","AnchorPt","",5,15,0,NA,0
"39","CCI","INDEPENDENCE",91882,16,1,1,"B+S",525931,NA,2,0,7,4,"N",0,22,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,25,"Charter","AnchorPt","",2,22,0,NA,0
"40","CCI","SUNDAYS TEMPTATION",91792,16,1,1,"B+S",525931,NA,6,0,3,12,"N",0,10,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,2,0,0,0,0,0,0,2009,5,25,"Charter","AnchorPt","",6,10,0,NA,0
"41","CCI","",NA,17,1,1,"B+S",525931,NA,3,0,4,0,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,25,"Private","AnchorPt","",3,0,0,NA,0
"42","CCI","",NA,9,1,1,"B",525931,NA,5,0,1.5,10,"N",0,6,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",5,6,0,NA,0
"43","CCI","NSC 3",93423,10,1,1,"B",525931,NA,6,0,3,12,"N",0,33,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,10,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",6,33,0,NA,0
"44","CCI","HARD EIGHT",91797,10,1,1,"B",525931,NA,8,0,3.5,16,"N",0,26,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,5,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",8,26,0,NA,0
"45","CCI","AK2972K / NO NAME",93319,10,1,1,"B+S",515938,NA,4,0,4,8,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,3,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",4,0,0,NA,0
"46","CCI","CARRIE MAE",91447,10,1,1,"B+S",525931,NA,6,0,5,12,"N",0,17,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",6,17,0,NA,0
"47","CCI","ARCTIC EXPLORERS",93344,10,1,1,"B",525931,NA,3,0,2.5,6,"N",0,5,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,2,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",3,5,0,NA,0
"48","CCI","",NA,10,1,1,"B",525931,NA,4,0,3,0,"N",0,1,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,1,1,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",4,1,0,NA,0
"49","CCI","MISS SHIRLEY",93321,11,1,1,"B+S",525931,NA,4,0,3,8,"N",0,12,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,3,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",4,12,0,NA,0
"50","CCI","",NA,11,1,1,"B",525931,NA,6,0,5,12,"N",0,10,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,5,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",6,10,0,NA,0
