"PORT","TARGET","BOATNAME","LOGBOOK","HOUR","NUMDAYS","ADFGSTATHAL","ADFGSTATRF","ADFGSTATLING","ADFGSTATCOMBI","INTLOC","CLIENTDAYS","CREWDAYS","HOURS_H","HOURS_R","HOURS_L","HOURS_COMBI","HAKEPT","GAFHAKEPT","HACAS","HARELCIR","HARELOTH","PELKEPT","PCAS","PELRSURF","PELRDRM","PELDEPTH","YEKEPT","YECAS","YERSURF","YERDRM","YEDEPTH","NPKEPT","NPCAS","NPRSURF","NPRDRM","NPDEPTH","LCKEPT","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODCAS","CODREL","SABKEPT","SABCAS","SABREL","POLKEPT","POLCAS","POLREL","SSKKEPT","SSKCAS","SSKREL","SDFKEPT","SDFCAS","SDFREL","PSSKEPT","PSSCAS","PSSREL","COMMENTS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","BOATHRS","SFmgmtareaHAL","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"Homer","S","",,15,1,515935,,,,2,1,0,0,0,0,1.5,2,0,2,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Private",,,1.5,"CI",1,0,0,0,0,0,0,0,0,2
"Homer","S","",,15,1,,515936,,,2,3,0,0,0,0,4,0,0,0,0,0,0,"0",3,0,40,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Private",,,4,,3,0,0,0,3,0,0,3,0,0
"Homer","B+S","",,16,1,515937,,,,4,2,0,8,0,0,0,2,0,0,6,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",1,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Private",,,8,"CI",2,6,0,0,0,0,0,0,0,2
"Homer","H","",,16,1,525931,,,,4,5,0,7,0,0,0,10,0,0,7,7,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,6,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Private",,,7,"CI",5,14,0,0,0,0,0,0,0,10
"Homer","H","",,16,1,515932,,,,4,3,0,6,0,0,0,0,0,0,2,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",6,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"10 Irish lord released",2022,5,22,"Private",,,6,"CI",3,2,0,0,0,0,0,0,0,0
"Homer","H","",,16,1,515936,,,,4,3,0,3,0,0,0,6,0,0,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Private",,,3,"CI",3,0,0,0,0,0,0,0,0,6
"Homer","S","",,16,1,515937,,,,4,2,0,0,0,0,5,2,0,0,0,3,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Private",,,5,"CI",2,3,0,0,0,0,0,0,0,2
"Homer","S","",,16,1,515931,,,,4,2,0,0,0,0,5,0,0,0,0,1,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Private",,,5,"CI",2,1,0,0,0,0,0,0,0,0
"Homer","H","",,16,1,515908,,,,4,4,0,5,0,0,0,0,0,0,1,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,3,"0",20,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Private",,,5,"CI",4,1,0,0,0,0,0,0,0,0
"Homer","H","",,16,1,515936,,,,4,3,0,8,0,0,0,3,0,0,0,7,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,2,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Private",,,8,"CI",3,7,0,0,0,0,0,0,0,3
