"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PELREL","PELDEPTH","NPKEPT","NPVER","NPREL","NPDEPTH","LCKEPT","LCVER","LCRELOVR","LCRELUND","CODKEPT","CODREL","SSKKEPT","SSKREL","SDFKEPT","SDFREL","PSSKEPT","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL"
"1","Kodiak","",NA,19,1,1,"H",525733,1,3,0,4,6,"Y",0,1,0,0,"N",1,37,0,"N",0,0,0,"N",0,0,0,0,0,0,0,0,0,0,2008,6,6,"Private","","",3,1,0,0,1
"2","Kodiak","REEL FUN",83279,17,1,1,"B+S",525733,2,6,0,6,12,"N",0,12,0,10,"N",0,0,0,"N",0,0,0,"N",0,0,0,0,0,0,0,0,0,0,2008,6,18,"Charter","","",6,12,0,10,0
"3","Kodiak","",NA,18,1,1,"H",525731,1,2,0,4,4,"Y",0,4,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,0,0,0,0,0,0,0,2008,6,18,"Private","","",2,4,0,0,0
"4","Kodiak","BEULAH MAE",83273,18,1,1,"H",525733,2,4,0,6,7,"Y",0,18,0,2,"Y",0,0,0,"N",0,0,0,"N",0,0,0,0,0,0,0,0,0,0,2008,6,18,"Charter","","",4,18,0,2,0
"5","Kodiak","",NA,18,1,1,"H",525731,1,7,0,2,14,"Y",0,5,1,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,0,0,0,0,0,0,0,2008,6,18,"Private","","",7,6,0,0,0
"6","Kodiak","",NA,21,1,1,"B+S",525731,1,2,0,3,1,"Y",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,10,0,0,0,0,0,0,0,0,2008,6,18,"Private","","",2,0,10,0,0
"7","Kodiak","",NA,16,1,1,"B+S",525733,1,3,0,6,1,"Y",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,4,0,0,0,0,0,0,2008,6,7,"Private","","",3,0,0,0,0
"8","Kodiak","",NA,17,1,1,"H",NA,2,3,0,6,6,"Y",0,4,0,1,"Y",12,90,0,"N",0,0,0,"N",0,0,0,1,0,0,0,0,0,0,2008,6,7,"Private","","",3,4,0,1,12
"9","Kodiak","",NA,18,1,1,"H",525733,1,3,0,1,3,"Y",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,7,0,0,0,0,0,0,0,2008,6,7,"Private","","",3,0,0,0,0
"10","Kodiak","",NA,18,1,1,"B+S",525733,1,5,0,8,7,"Y",0,2,0,1,"Y",0,0,0,"N",0,0,0,"N",0,0,2,0,0,0,0,0,0,0,2008,6,7,"Private","","",5,2,0,1,0
