"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","GAFHAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELRVENT","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YERVENT","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPRVENT","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"2131","Whittier","",NA,17,1,1,"H",486033,NA,2,0,3,0,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,5,30,"Private","","",2,0,1,0,0,0,0,0,0,0
"2132","Whittier","",NA,14,1,4,"B",486001,NA,12,0,10,1,0,"N",1,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,1,"N",1,0,0,0,NA,0,"",NA,0,0,0,"",NA,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",12,0,0,1,0,0,0,0,1,1
"2133","Whittier","",NA,15,1,1,"S",486033,NA,4,0,3,0,0,"N",0,0,0,0,"",NA,1,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",4,0,0,0,1,0,0,1,0,0
"2134","Whittier","",NA,16,1,3,"H",485932,NA,6,0,24,4,0,"N",4,2,0,0,"",NA,40,0,0,40,2,"N",2,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,1,0,"",NA,0,2014,6,6,"Private","","",6,2,0,2,40,0,0,40,2,4
"2135","Whittier","SALTWATER ADDICTION",140179,16,1,1,"B",476003,NA,6,0,4,12,0,"N",12,4,6,5,"N",5,0,0,0,NA,0,"",0,0,0,0,NA,12,"N",12,0,0,0,NA,0,"",NA,0,0,14,"N",14,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Charter","","",6,10,0,17,0,0,0,0,17,12
"2136","Whittier","",NA,16,1,2,"H",486001,NA,2,0,8,0,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,2,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",2,0,0,0,0,0,0,0,0,0
"2137","Whittier","",NA,16,1,1,"R",486033,NA,2,0,3,0,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,4,"N",4,2,0,0,80,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",2,0,0,4,0,0,2,2,4,0
"2138","Whittier","",NA,16,1,1,"B",476033,NA,3,0,1,0,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",3,0,1,0,0,0,0,0,0,0
"2139","Whittier","",NA,16,1,2,"B",476033,NA,4,0,5,0,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,2,"N",2,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",4,0,0,0,0,0,0,0,0,0
"2140","Whittier","",NA,17,1,1,"H",486033,NA,2,0,3,0,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",2,0,0,0,0,0,0,0,0,0
"2141","Whittier","",NA,17,1,1,"H",486034,NA,1,0,4,1,0,"Y",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",1,0,0,0,0,0,0,0,0,1
"2142","Whittier","FOOLS GOLD",140268,17,1,4,"H",486001,NA,16,0,17,10,0,"N",10,26,0,0,"",NA,0,0,0,NA,2,"N",2,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,6,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Charter","","",16,26,0,2,0,0,0,0,2,10
"2143","Whittier","GOOD TIMES",140267,18,1,3,"B",476003,NA,10,0,4,7,0,"N",7,0,0,7,"N",7,10,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,4,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Charter","","",10,0,0,7,10,0,0,10,7,7
"2144","Whittier","",NA,18,1,1,"H",475933,NA,4,0,4,2,0,"N",2,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,3,"N",3,1,0,0,75,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",4,0,0,3,0,0,1,1,3,2
"2145","Whittier","",NA,18,1,1,"B",476006,NA,3,0,1,0,0,"N",0,0,1,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",3,1,0,0,0,0,0,0,0,0
"2146","Whittier","",NA,18,1,2,"H",476008,NA,4,0,8,7,0,"N",7,0,0,0,"",NA,2,0,0,130,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,1,2,0,"",NA,4,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",4,0,3,0,2,0,0,2,0,7
"2147","Whittier","",NA,18,1,1,"H",476033,NA,4,0,5.5,3,0,"N",3,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",4,0,0,0,0,0,0,0,0,3
"2148","Whittier","",NA,18,1,1,"H",476033,NA,4,0,5,5,0,"Y",0,0,0,0,"",NA,0,0,0,NA,1,"Y",0,0,0,0,NA,2,"Y",0,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,1,0,"",NA,0,2014,6,6,"Private","","",4,0,0,3,0,0,0,0,0,5
"2149","Whittier","",NA,18,1,1,"H",476031,NA,5,0,5,6,0,"Y",0,5,0,0,"",NA,1,0,0,30,0,"",0,0,0,0,NA,1,"Y",0,0,0,0,NA,0,"",NA,0,1,8,"Y",0,6,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",5,5,1,1,1,0,0,1,0,6
"2150","Whittier","",NA,19,1,1,"B+S",476033,NA,5,0,3,0,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",5,0,0,0,0,0,0,0,0,0
"2151","Whittier","CARRY ME",140293,19,1,1,"B",476032,NA,6,0,7,3,0,"Y",0,0,0,0,"",NA,0,0,0,NA,1,"Y",0,0,0,0,NA,5,"Y",0,0,0,0,NA,0,"",NA,0,0,10,"N",10,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Charter","","",6,0,0,6,0,0,0,0,0,3
"2152","Whittier","SWEE' PEA",142891,20,1,1,"B",466003,NA,5,0,5,8,0,"Y",4,3,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,17,"Y",0,5,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Charter","","",5,3,0,0,0,0,0,0,0,8
"2153","Whittier","",NA,20,1,1,"H",476033,NA,4,0,1,0,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,6,"Private","","",4,0,0,0,0,0,0,0,0,0
"2154","Whittier","",NA,15,1,1,"B+S",486033,NA,4,0,3,0,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,1,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,5,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,8,"Private","","",4,0,0,0,0,1,0,1,0,0
"2155","Whittier","",NA,15,1,2,"B",486033,NA,6,0,8,0,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,8,"Private","","",6,0,0,0,0,0,0,0,0,0
"2156","Whittier","",NA,15,1,4,"H",486001,NA,12,0,14,3,0,"N",3,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,4,"N",4,0,0,0,NA,0,"",NA,0,1,0,"",NA,3,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,8,"Private","","",12,0,1,4,0,0,0,0,4,3
"2157","Whittier","SWEE' PEA",142891,15,1,1,"B",486033,NA,6,0,3,3,0,"Y",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,6,"Y",0,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,8,"Charter","","",6,0,0,0,0,0,0,0,0,3
"2158","Whittier","",NA,15,1,1,"B+S",486033,NA,4,0,6,0,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,1,"Y",0,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,1,"Y",0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,8,"Private","","",4,0,0,1,0,0,0,0,0,0
"2159","Whittier","",NA,15,1,2,"H",486034,NA,4,0,11,0,0,"N",0,0,0,0,"",NA,2,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,4,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,8,"Private","","",4,0,0,0,2,0,0,2,0,0
"2160","Whittier","",NA,15,1,2,"B+S",486031,NA,6,0,20,0,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,8,"Private","","",6,0,0,0,0,0,0,0,0,0
"2161","Whittier","",NA,15,1,3,"H",476034,NA,6,0,10,2,0,"N",2,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2014,6,8,"Private","","",6,0,0,0,0,0,0,0,0,2
