"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","P_KPT_CAS","PELREL","PELDEPTH","NPKEPT","NPVER","NPCAS","NPREL","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","PCAS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL","TRFCAS"
"1543","Kodiak","",NA,17,1,1,"B+S",525733,3,4,0,6,1,"Y",0,0,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,1,0,"",NA,1,0,"",NA,NA,0,"",NA,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,22,"Private","","",4,0,1,0,0,NA
"1544","Kodiak","C DEVIL",102941,17,1,1,"H",525731,3,2,0,6.5,4,"Y",0,0,2,3,"Y",NA,0,0,0,"N",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,22,"Charter","","",2,2,0,3,0,NA
"1545","Kodiak","",NA,17,1,1,"S",525731,3,2,0,4,0,"N",0,0,0,0,"",NA,5,70,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,22,"Private","","",2,0,0,0,5,NA
"1546","Kodiak","",NA,17,1,1,"S",525733,3,4,0,6,2,"Y",0,2,0,2,"Y",NA,4,40,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,1,0,"",NA,0,NA,2010,7,22,"Private","","",4,2,0,2,4,NA
"1547","Kodiak","",NA,18,1,1,"S",525731,3,4,0,2,0,"N",0,0,0,9,"N",NA,2,45,0,"",NA,0,0,0,"",NA,0,0,1,"N",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,22,"Private","","",4,0,0,9,2,NA
"1548","Kodiak","",NA,20,1,1,"B+S",525733,3,3,0,4,0,"N",0,0,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,4,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,22,"Private","","",3,0,0,0,0,NA
"1549","Kodiak","",NA,16,1,1,"B+S",525733,1,4,0,3.5,5,"N",0,4,0,0,"",NA,2,180,0,"",NA,0,0,0,"",NA,0,1,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Private","","",4,4,1,0,2,NA
"1550","Kodiak","",NA,16,1,1,"H",525731,3,4,0,3,0,"N",0,1,0,2,"N",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,1,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Private","","",4,1,0,2,0,NA
"1551","Kodiak","TEN BEARS",102898,16,1,1,"B+S",525733,3,4,0,8,3,"N",3,0,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,2,"N",2,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Charter","","",4,0,0,0,0,NA
"1552","Kodiak","",NA,17,1,1,"H",525731,3,3,0,4,4,"N",0,2,2,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Private","","",3,4,0,0,0,NA
