"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","GAFHAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELRVENT","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YERVENT","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPRVENT","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","SFmgmtarea","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"1","CCI","",NA,12,1,1,"S",515939,NA,2,0,5,2,0,"N",0,0,1,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",2,1,0,0,0,0,0,0,0,2
"2","CCI","",NA,12,1,1,"B+S",515939,NA,2,0,5,1,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",2,0,0,0,0,0,0,0,0,1
"3","CCI","",NA,12,1,1,"S",515939,NA,3,0,5,3,0,"N",0,0,2,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",3,2,0,0,0,0,0,0,0,3
"4","CCI","",NA,13,1,1,"S",515939,NA,3,0,5,2,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",3,0,0,0,0,0,0,0,0,2
"5","CCI","THE HUNTER",190216,13,1,1,"B+S",525931,NA,2,0,4,4,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,1,"N",1,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Charter","AnchorPt","","CI",2,0,0,0,0,0,0,0,0,4
"6","CCI","",NA,13,1,1,"H",515939,NA,3,0,6.5,6,0,"N",0,3,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",3,3,0,0,0,0,0,0,0,6
"7","CCI","",NA,13,1,1,"H",515939,NA,2,0,2,3,0,"N",0,2,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",2,2,0,0,0,0,0,0,0,3
"8","CCI","FISH MAGNET",192576,13,1,1,"B+S",516002,NA,6,0,2,12,0,"N",12,0,1,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Charter","AnchorPt","","CI",6,1,0,0,0,0,0,0,0,12
"9","CCI","",NA,14,1,1,"H",525931,NA,2,0,5,4,0,"N",0,7,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",2,7,0,0,0,0,0,0,0,4
"10","CCI","",NA,14,1,1,"B+S",515939,NA,4,0,7,1,0,"N",1,0,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",4,0,0,0,0,0,0,0,0,1
"11","CCI","",NA,14,1,1,"B+S",525931,NA,3,0,2.5,5,0,"N",5,0,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",3,0,0,0,0,0,0,0,0,5
"12","CCI","",NA,15,1,1,"B+S",515939,NA,3,0,8,1,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",3,0,0,0,0,0,0,0,0,1
"13","CCI","",NA,15,1,1,"B+S",525931,NA,4,0,5,8,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",4,0,0,0,0,0,0,0,0,8
"14","CCI","MISS RENE'",190098,15,1,1,"B+S",525931,NA,6,0,4,9,0,"N",0,14,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Charter","AnchorPt","","CI",6,14,0,0,0,0,0,0,0,9
"15","CCI","",NA,15,1,1,"S",515939,NA,2,0,7.5,0,0,"N",0,0,3,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",2,3,0,0,0,0,0,0,0,0
"16","CCI","",NA,15,1,1,"S",515939,NA,3,0,7,0,0,"N",0,0,1,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",3,1,0,0,0,0,0,0,0,0
"17","CCI","TILLY JANE",191298,15,1,1,"B+S",525931,NA,3,0,4,5,0,"N",5,6,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Charter","AnchorPt","","CI",3,6,0,0,0,0,0,0,0,5
"18","CCI","INDEPENDENCE",191377,15,1,1,"B+S",525931,NA,5,0,4,9,0,"N",9,5,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Charter","AnchorPt","","CI",5,5,0,0,0,0,0,0,0,9
"19","CCI","",NA,16,1,1,"S",515939,NA,8,0,9,1,0,"N",0,0,1,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"N",0,0,1,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",8,1,1,0,0,0,0,0,0,1
"20","CCI","",NA,16,1,1,"S",515939,NA,3,0,9,2,0,"N",2,0,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"N",0,0,2,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",3,0,2,0,0,0,0,0,0,2
"21","CCI","",NA,16,1,1,"S",515939,NA,3,0,7,4,0,"N",0,0,1,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",3,1,0,0,0,0,0,0,0,4
"22","CCI","",NA,16,1,1,"S",525931,NA,4,0,9,3,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",4,0,0,0,0,0,0,0,0,3
"23","CCI","",NA,16,1,1,"S",515939,NA,1,0,10.5,1,0,"N",0,0,2,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",1,2,0,0,0,0,0,0,0,1
"24","CCI","",NA,16,1,1,"S",515939,NA,4,0,9,2,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,12,"Private","AnchorPt","","CI",4,0,0,0,0,0,0,0,0,2
"25","CCI","",NA,13,1,1,"H",515939,NA,2,0,2,4,0,"N",0,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",2,1,0,0,0,0,0,0,0,4
"26","CCI","",NA,13,1,1,"B+S",515939,NA,6,0,3,6,0,"N",0,3,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",6,3,0,0,0,0,0,0,0,6
"27","CCI","",NA,13,1,1,"H",515939,NA,3,0,3,6,0,"N",0,0,5,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",3,5,0,0,0,0,0,0,0,6
"28","CCI","",NA,13,1,1,"B+S",515938,NA,3,0,1,6,0,"N",0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",3,0,0,0,0,0,0,0,0,6
"29","CCI","",NA,14,1,1,"B+S",515938,NA,3,0,3,6,0,"N",0,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",3,2,0,0,0,0,0,0,0,6
"30","CCI","",NA,14,1,1,"B+S",515939,NA,4,0,3,8,0,"N",0,3,2,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",4,5,0,0,0,0,0,0,0,8
"31","CCI","",NA,14,1,1,"S",515939,NA,4,0,6.5,0,0,"N",0,0,1,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",4,1,0,0,0,0,0,0,0,0
"32","CCI","VOYAGEUR",190136,14,1,1,"B+S",515939,NA,5,0,4,10,0,"N",10,3,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Charter","DeepCr","","CI",5,3,0,0,0,0,0,0,0,10
"33","CCI","QUICK WATER",192533,14,1,1,"B+S",525931,NA,4,0,3,8,0,"N",0,7,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,2,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Charter","DeepCr","","CI",4,7,0,0,0,0,0,0,0,8
"34","CCI","HER'S",192585,14,1,1,"H",525931,NA,3,0,4,6,0,"N",0,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Charter","DeepCr","","CI",3,2,0,0,0,0,0,0,0,6
"35","CCI","",NA,14,1,1,"H",515939,NA,2,0,5,0,0,"N",0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",2,0,0,0,0,0,0,0,0,0
"36","CCI","",NA,14,1,1,"H",515939,NA,3,0,6,1,0,"N",0,1,3,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",3,4,0,0,0,0,0,0,0,1
"37","CCI","",NA,15,1,1,"B+S",515939,NA,3,0,3,6,0,"N",0,4,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",3,4,0,0,0,0,0,0,0,6
"38","CCI","A FISHUNT II",190131,15,1,1,"B+S",525931,NA,5,0,4,10,0,"N",0,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,2,"N",0,1,0,"",0,0,0,"",0,0,0,"",0,0,0,"N",0,1,0,"",0,0,2019,5,14,"Charter","DeepCr","","CI",5,2,0,0,0,0,0,0,0,10
"39","CCI","",NA,15,1,1,"H",515939,NA,5,0,4,10,0,"N",0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,2,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",5,0,0,0,0,0,0,0,0,10
"40","CCI","",NA,15,1,1,"H",525931,NA,4,0,4,8,0,"N",0,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,1,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",4,1,0,0,0,0,0,0,0,8
"41","CCI","LILY",192569,15,1,1,"H",525931,NA,4,0,4,7,0,"N",0,9,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Charter","DeepCr","","CI",4,9,0,0,0,0,0,0,0,7
"42","CCI","",NA,15,1,1,"B+S",515939,NA,4,0,3,8,0,"N",0,7,1,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",4,8,0,0,0,0,0,0,0,8
"43","CCI","",NA,15,1,1,"B+S",515939,NA,4,0,3,7,0,"N",0,3,1,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",4,4,0,0,0,0,0,0,0,7
"44","CCI","",NA,15,1,1,"H",525931,NA,4,0,3,8,0,"N",0,0,12,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",4,12,0,0,0,0,0,0,0,8
"45","CCI","",NA,16,1,1,"H",525931,NA,7,0,9,14,0,"N",0,6,3,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",7,9,0,0,0,0,0,0,0,14
"46","CCI","",NA,16,1,1,"B+S",515939,NA,8,0,3,15,0,"N",15,6,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",8,6,0,0,0,0,0,0,0,15
"47","CCI","",NA,16,1,1,"B+S",515939,NA,2,0,3,4,0,"N",0,0,2,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Private","DeepCr","","CI",2,2,0,0,0,0,0,0,0,4
"48","CCI","VOYAGEUR",190136,16,1,1,"B+S",515939,NA,6,0,3.5,9,0,"N",0,16,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,"N",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,2019,5,14,"Charter","DeepCr","","CI",6,16,0,0,0,0,0,0,0,9
