"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","GAFHAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELRVENT","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YERVENT","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPRVENT","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","SFmgmtarea","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"1","CCI","THE HUNTER",180041,12,1,1,"B+S",525931,NA,6,0,3,12,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2018,5,12,"Charter","AnchorPt","","CI",6,0,0,0,0,0,0,0,0,12
"2","CCI","",NA,13,1,1,"B+S",525931,NA,4,0,4,8,0,"N",0,0,3,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2018,5,12,"Private","AnchorPt","","CI",4,3,0,0,0,0,0,0,0,8
"3","CCI","MISS RENE'",180089,14,1,1,"S",515939,NA,6,0,6,3,0,"N",0,0,3,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2018,5,12,"Charter","AnchorPt","","CI",6,3,0,0,0,0,0,0,0,3
"4","CCI","",NA,14,1,1,"B+S",515939,NA,2,0,1,0,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2018,5,12,"Private","AnchorPt","","CI",2,0,0,0,0,0,0,0,0,0
"5","CCI","",NA,16,1,1,"B+S",515939,NA,3,0,8,2,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2018,5,12,"Private","AnchorPt","","CI",3,0,0,0,0,0,0,0,0,2
"6","CCI","",NA,13,1,1,"S",515939,NA,3,0,4,1,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2018,5,15,"Private","DeepCr","","CI",3,0,0,0,0,0,0,0,0,1
"7","CCI","",NA,15,1,1,"B+S",525931,NA,5,0,9,1,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2018,5,15,"Private","DeepCr","","CI",5,0,0,0,0,0,0,0,0,1
"8","CCI","ARCTIC ENDURANCE",181612,15,1,1,"B+S",525931,NA,2,0,7,3,0,"N",0,0,1,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2018,5,15,"Charter","DeepCr","","CI",2,1,0,0,0,0,0,0,0,3
"9","CCI","LILLY",182816,15,1,1,"B+S",525931,NA,4,0,6,8,0,"N",0,0,8,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,1,0,"N",0,0,2018,5,15,"Charter","DeepCr","","CI",4,8,0,0,0,0,0,0,0,8
"10","CCI","",NA,12,1,1,"B+S",515937,NA,2,0,4,0,0,"N",0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2018,5,20,"Private","AnchorPt","","CI",2,0,0,0,0,0,0,0,0,0
