"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELRVENT","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YERVENT","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPRVENT","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS"
"1140","Kodiak","",NA,17,1,1,"B+S",525733,1,4,0,2,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,3,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,7,"Private","","",4,0,0,0,0,0,0,0,0
"1141","Kodiak","RUNNAMUCK V",132389,18,1,1,"B",525731,3,6,0,7,12,"N",0,6,0,30,"N",NA,6,0,0,35,0,"",0,0,0,0,NA,0,"",NA,1,0,0,35,0,"",NA,0,0,35,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,7,"Charter","","",6,6,0,30,6,0,1,7,0
"1142","Kodiak","",NA,21,1,1,"B+S",525733,2,4,0,1.5,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,7,"Private","","",4,0,0,0,0,0,0,0,0
"1143","Kodiak","C DEVIL",132476,14,1,1,"B",525731,2,5,0,5.5,10,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,1,0,"",NA,0,2013,6,8,"Charter","","",5,0,0,0,0,0,0,0,0
"1144","Kodiak","",NA,15,1,1,"H",525733,2,1,0,5,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,1,"N",NA,3,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,8,"Private","","",1,0,0,0,0,0,0,0,0
"1145","Kodiak","",NA,15,1,1,"H",525733,2,2,0,6,4,"N",4,0,0,3,"N",3,0,0,0,NA,1,"N",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,2,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,8,"Private","","",2,0,0,4,0,0,0,0,3
"1146","Kodiak","",NA,15,1,1,"H",525733,2,3,0,4,0,"N",0,0,0,1,"Y",NA,2,0,0,150,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,8,"Private","","",3,0,0,1,2,0,0,2,0
"1147","Kodiak","",NA,15,1,1,"B+S",525733,2,2,0,3,0,"N",0,3,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,8,"Private","","",2,3,0,0,0,0,0,0,0
"1148","Kodiak","",NA,16,1,1,"H",525733,1,5,0,6,10,"Y",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,6,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,8,"Private","","",5,0,0,0,0,0,0,0,0
"1149","Kodiak","",NA,17,1,1,"H",525733,1,6,0,6,6,"Y",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,6,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,8,"Private","","",6,0,0,0,0,0,0,0,0
